DateTime,AddedIPs,RemovedIPs
1503169660,1,1
1503173255,1,0
1503176858,2,4
1503180434,1,2
1503184071,0,3
1503187687,3,1
1503191239,1,0
1503194863,1,1
1503198462,2,0
1503202077,0,3
1503205652,3,1
1503209239,2,3
1503212854,2,3
1503216451,3,0
1503220032,1,3
1503223649,1,3
1503227254,3,2
1503230859,0,1
1503234446,1,1
1503238047,2,2
1503241643,3,3
1503245268,4,0
1503248850,1,1
1503252479,1,1
1503256047,1,2
1503259650,2,1
1503263270,1,5
1503266846,1,1
1503270455,3,1
1503274088,1,1
1503277648,1,0
1503281264,2,1
1503284851,1,1
1503288453,1,3
1503292057,1,2
1503295660,3,1
1503299259,2,1
1503302848,0,1
1503306459,1,1
1503313650,3,3
1503317246,3,1
1503320851,2,3
1503324443,0,1
1503328056,1,2
1503331657,2,1
1503335253,1,2
1503338862,3,3
1503342453,3,3
1503346047,3,2
1503349658,1,1
1503353269,1,3
1503356840,1,1
1503360501,0,2
1503364048,1,4
1503367646,3,2
1503371256,5,3
1503374871,2,0
1503378479,1,0
1503382049,0,2
1503385665,1,2
1503389242,2,2
1503392845,2,0
1503396440,1,1
1503400035,1,0
1503403648,1,0
1503407236,1,2
1503410866,0,2
1503414447,1,2
1503418057,3,0
1503421645,2,1
1503425251,1,0
1503428850,0,1
1503432446,1,2
1503436046,1,2
1503439663,2,2
1503443255,2,0
1503446889,2,1
1503450438,2,2
1503454017,2,2
1503457630,1,2
1503461235,0,1
1503464827,0,2
1503468438,0,4
1503472032,0,1
1503475623,2,0
1503479222,1,0
1503482838,2,0
1503490033,2,1
1503493635,1,1
1503497224,1,2
1503500843,1,1
1503508028,0,1
1503511641,1,7
1503515235,2,2
1503518822,9,9
1503522435,6,0
1503526042,1,0
1503529625,4,3
1503533260,3,2
1503540442,1,0
1503544032,0,1
1503547626,1,2
1503551224,0,1
1503554821,1,3
1503558433,3,1
1503562037,1,3
1503565617,2,0
1503569225,1,2
1503572831,1,1
1503576433,2,3
1503580038,3,0
1503583627,2,1
1503587226,1,2
1503590829,1,1
1503594446,5,2
1503598034,1,3
1503601645,1,4
1503605217,4,8
1503608827,9,2
1503612424,2,3
1503616031,3,3
1503619662,1,1
1503623230,1,1
1503626838,2,1
1503630422,1,1
1503634041,1,2
1503637631,3,3
1503641235,3,0
1503644857,1,2
1503648453,0,3
1503652024,3,5
1503655633,1,2
1503659255,0,1
1503662839,4,2
1503666446,2,2
1503670024,1,0
1503677225,1,1
1503680837,2,1
1503684425,1,1
1503688040,3,0
1503691637,1,2
1503695234,1,1
1503698829,1,2
1503702437,3,4
1503706094,0,2
1503709615,0,4
1503713237,6,1
1503716819,2,4
1503720420,5,0
1503724049,1,1
1503727651,1,1
1503731249,1,3
1503734821,3,2
1503738425,1,0
1503742023,2,2
1503745633,0,1
1503749250,2,2
1503752855,0,4
1503756445,4,1
1503760026,2,0
1503763632,1,2
1503767242,0,2
1503770848,4,2
1503774454,2,2
1503778049,1,10
1503781642,1,1
1503785259,1,5
1503788834,11,11
1503792479,1,3
1503796039,2,4
1503799640,3,0
1503803262,1,28
1503806864,2,2
1503810436,16,1
1503814034,11,0
1503817635,2,0
1503821247,8,0
1503824858,1,2
1503828447,1,9
1503832020,10,2
1503835645,1,6
1503839228,9,0
1503842831,3,1
1503846419,1,0
1503850057,0,1
1503853646,0,5
1503857245,1,4
1503860817,3,4
1503864444,0,1
1503868029,8,1
1503871620,2,0
1503878860,1,0
1503882447,0,3
1503886046,2,1
1503889629,1,1
1503893263,0,1
1503896838,1,0
1503900432,0,5
1503904036,3,5
1503907656,1,0
1503911235,7,2
1503914837,3,0
1503918441,0,2
1503922045,0,1
1503925644,3,2
1503929233,0,6
1503932836,6,0
1503936449,1,0
1503940022,1,5
1503943626,5,2
1503947260,0,5
1503950851,2,4
1503954437,8,4
1503958045,0,6
1503961643,1,0
1503965272,1,2
1503968863,2,28
1503972450,26,3
1503976049,8,1
