DateTime,AddedIPs,RemovedIPs
1503184168,0,2
1503187789,4,1
1503191344,5,3
1503194966,1,5
1503198564,3,0
1503202182,0,1
1503205755,3,2
1503209342,1,1
1503212959,0,2
1503216555,1,2
1503220134,3,8
1503223751,2,5
1503227356,2,3
1503230956,2,5
1503234548,11,4
1503238150,3,3
1503241745,2,1
1503245371,4,0
1503248952,2,1
1503252578,2,4
1503256150,5,2
1503259748,0,2
1503263367,6,3
1503270560,2,3
1503274190,1,0
1503277753,1,5
1503281372,0,1
1503284960,4,5
1503288564,5,2
1503292167,3,1
1503295763,2,2
1503299368,1,6
1503302957,3,4
1503306571,3,4
1503310164,3,3
1503313755,9,1
1503317355,2,0
1503320955,0,2
1503324549,1,2
1503328165,2,10
1503331767,7,2
1503335365,5,1
1503338971,3,4
1503342561,4,0
1503346148,0,2
1503349771,0,1
1503353382,2,6
1503356951,2,13
1503360600,3,6
1503364146,4,1
1503367749,6,2
1503371359,8,3
1503374973,4,0
1503378577,0,1
1503382152,1,7
1503385765,6,3
1503389342,1,10
1503392954,0,8
1503396543,13,2
1503400136,2,8
1503403749,6,6
1503407338,2,1
1503410968,3,14
1503414549,8,1
1503418160,14,3
1503421743,2,2
1503425355,5,3
1503428952,2,0
1503432545,1,5
1503436145,2,2
1503439766,5,4
1503443357,11,1
1503446987,3,1
1503450542,2,0
1503454120,1,3
1503457735,2,3
1503461338,1,1
1503464926,2,1
1503468536,1,6
1503472134,1,2
1503475723,1,2
1503479324,1,4
1503482942,1,1
1503486536,4,4
1503490136,5,4
1503493736,0,4
1503497326,13,5
1503500942,4,1
1503504532,1,1
1503508129,1,0
1503511741,1,7
1503515333,4,7
1503518924,6,3
1503522538,1,8
1503526140,4,3
1503529730,7,2
1503533361,5,4
1503536944,6,2
1503540543,3,1
1503544135,2,1
1503547724,1,2
1503551325,3,4
1503554922,2,4
1503558534,3,6
1503562141,6,3
1503565721,5,3
1503569328,1,0
1503572935,4,0
1503576534,1,2
1503580140,0,11
1503583730,2,3
1503587325,4,7
1503590933,9,2
1503594546,0,4
1503598131,9,1
1503601742,1,0
1503605319,0,1
1503608931,2,0
1503612528,0,11
1503616135,4,2
1503619775,4,1
1503623340,6,2
1503630534,2,0
1503637737,0,4
1503641359,0,2
1503644966,3,4
1503648562,3,4
1503652133,3,1
1503655743,2,1
1503659364,2,3
1503662947,5,1
1503666553,3,9
1503670130,9,4
1503673771,4,4
1503677330,3,4
1503680947,3,3
1503684531,4,1
1503688153,1,2
1503691749,0,8
1503695342,4,0
1503698936,1,1
1503702545,2,3
1503706192,5,2
1503709715,2,6
1503713336,2,5
1503716922,7,2
1503720520,4,7
1503724147,1,5
1503727756,5,4
1503731345,4,3
1503734924,5,6
1503738526,4,8
1503742125,7,7
1503745730,4,9
1503749350,8,5
1503752952,11,1
1503756546,0,4
1503760130,7,2
1503763735,3,1
1503767341,3,3
1503774554,3,2
1503778145,1,2
1503781740,1,4
1503785361,1,2
1503788942,4,2
1503792576,5,4
1503796138,3,4
1503799741,3,3
1503803361,4,3
1503806961,1,8
1503810540,1,9
1503814139,3,14
1503817732,13,8
1503821346,7,3
1503824956,11,1
1503828547,0,2
1503832120,0,8
1503835741,11,5
1503839329,6,3
1503842936,10,2
1503846523,3,0
1503850155,2,10
1503853747,3,6
1503857347,15,2
1503860915,1,0
1503864543,1,1
1503868132,1,1
1503871722,2,5
1503875337,3,0
1503878961,0,1
1503882546,0,4
1503886145,2,7
1503889731,7,4
1503893360,4,2
1503896936,4,5
1503900530,6,2
1503904137,3,1
1503907755,1,5
1503911338,3,7
1503914938,6,2
1503918537,2,8
1503922142,7,0
1503925747,3,7
1503929333,3,0
1503932938,1,3
1503936545,1,9
1503940124,2,6
1503943724,3,7
1503947357,5,6
1503950949,14,0
1503954539,2,5
1503958143,2,2
1503961741,6,4
1503965383,10,1
1503968973,3,1
1503976161,1,2
1503979753,2,10
1503983351,4,2
1503986978,0,3
1503990545,3,4
1503994173,2,6
1503997759,5,4
1504001371,6,3
1504004942,6,6
1504008563,1,1
1504012139,3,3
1504015751,4,5
1504019350,1,12
1504022940,8,1
1504026571,3,3
1504030157,8,2
1504033750,2,0
1504037342,3,5
1504040951,2,0
1504044560,6,3
1504048168,1,1
1504051771,0,5
1504055357,3,6
1504058948,7,3
1504062553,2,2
1504066173,3,0
1504069761,4,2
1504073355,0,12
1504076949,4,3
1504080562,6,3
1504084150,6,3
1504087762,2,0
1504091351,0,7
1504094956,9,5
1504098531,3,0
1504102169,4,2
1504105750,3,0
1504109352,1,6
1504112951,7,1
1504116551,0,1
1504120150,0,1
1504123753,2,2
1504127356,1,8
1504130962,6,1
1504134557,4,1
1504138191,4,3
1504141738,3,3
1504145353,0,1
1504148938,2,0
1504152569,1,3
1504156158,1,1
1504159750,1,0
1504163340,2,5
1504166949,1,5
1504170528,4,6
1504174149,2,5
1504177769,7,3
1504181351,3,4
1504184964,4,1
1504188573,4,5
1504192161,1,3
1504195754,2,4
1504199358,3,9
1504202950,1,17
1504206567,21,2
1504210152,10,3
1504213764,4,3
1504217349,3,0
1504220957,2,5
1504224625,3,8
1504228150,3,3
1504231770,4,1
1504235356,2,3
1504238941,6,1
1504242549,2,2
1504246159,2,2
1504249789,4,2
1504253356,1,1
1504256937,1,3
1504260535,3,2
1504264145,2,5
1504267773,6,3
1504271363,5,1
1504278558,1,1
1504282148,0,2
1504285754,0,17
1504289365,1,2
1504292983,7,0
1504296551,8,4
1504300163,2,0
1504303740,4,0
1504307355,2,0
1504310996,3,0
