DateTime,AddedIPs,RemovedIPs
1504638256,7,6
1504638999,2,11
1504639947,13,3
1504640651,3,9
1504641383,6,8
1504642098,2,0
1504642830,3,6
1504643791,6,6
1504644501,4,7
1504645236,9,7
1504645930,4,10
1504646661,5,8
1504647381,7,5
1504648105,4,5
1504649069,9,6
1504649783,5,5
1504650642,3,11
1504651462,5,7
1504652182,4,0
1504652908,5,17
1504653615,4,0
1504654336,4,1
1504655060,5,5
1504656037,12,0
1504656996,3,57
1504657951,11,7
1504658651,4,4
1504659383,1,4
1504660101,4,2
1504660823,5,2
1504661536,6,12
1504662255,7,7
1504663241,9,10
1504663934,8,5
1504664664,5,15
1504665385,4,0
1504666107,6,10
1504667071,4,4
1504667782,1,8
1504668506,3,6
1504669209,4,1
1504669933,8,4
1504670655,6,12
1504671384,7,4
1504672355,6,7
1504673052,6,0
1504673785,9,8
1504674757,7,6
1504675459,5,5
1504676190,7,2
1504677152,11,7
1504677855,4,3
1504678591,9,1
1504679302,3,6
1504680038,9,6
1504680728,7,7
1504681464,1,4
1504682435,8,2
1504683141,6,3
1504683860,6,2
1504684580,5,5
1504685311,9,2
1504686261,4,4
1504686976,6,7
1504687698,4,0
1504688428,3,6
1504689162,7,5
1504690106,8,15
1504690816,4,0
1504691546,4,8
1504692254,7,0
1504692992,3,4
1504693949,1,9
1504694658,3,0
1504695384,3,4
1504696102,3,4
1504696819,3,12
1504697804,14,2
1504698493,6,6
1504699239,4,9
1504699920,4,0
1504700677,4,3
1504701369,8,0
1504702091,5,3
1504702834,2,6
1504703546,4,6
1504704263,5,9
1504705235,5,5
1504705939,6,5
1504706666,6,4
1504707379,4,2
1504708113,6,7
1504708939,4,8
1504709672,10,3
1504710600,10,16
1504711461,7,2
1504712441,4,8
1504713127,6,6
1504713867,5,8
1504715096,8,13
1504715797,4,0
1504716995,11,14
1504717692,5,8
1504718429,9,5
1504719138,6,0
1504719878,5,9
1504720845,11,8
1504721808,12,3
1504722488,5,5
1504723226,8,0
1504723945,6,10
1504724907,7,10
1504725630,3,5
1504726347,8,8
1504727055,5,9
1504727771,4,0
1504728748,3,4
1504729451,2,10
1504730173,7,6
1504730892,4,6
1504731627,3,5
1504732606,5,14
1504733305,6,0
1504734013,5,9
1504734731,3,2
1504735461,7,7
1504736185,3,8
1504736907,6,6
1504737613,7,3
1504738331,3,11
1504739062,4,5
1504739787,6,6
1504740505,6,1
1504741235,4,3
1504741926,5,1
1504742665,8,0
1504743385,2,10
1504744100,6,0
1504745079,6,11
1504745778,5,8
1504746504,1,0
1504747212,3,9
1504747951,6,11
1504748650,7,8
1504749382,11,5
1504750102,4,6
1504750830,14,4
1504751532,5,10
1504752253,5,3
1504752971,7,0
1504753699,1,0
1504754423,4,12
1504755144,7,0
1504755858,5,3
1504756573,3,15
1504757552,8,7
1504758250,5,7
1504758972,0,5
1504759702,5,3
1504760454,13,2
1504761393,15,3
1504762359,4,11
1504763314,7,2
1504764009,4,4
1504764734,3,3
1504765453,4,12
1504766193,4,2
1504767146,3,6
1504767856,2,0
1504768579,5,5
1504769298,3,10
1504770033,2,3
1504770738,5,3
1504771462,3,2
1504772179,6,2
1504772909,9,5
1504773867,3,9
1504774583,5,1
1504775303,4,0
1504776014,4,3
1504776748,2,15
1504777449,4,0
1504778168,8,10
1504778893,4,4
1504779624,9,5
1504780342,3,0
1504781056,10,8
1504781778,7,0
1504782501,7,5
1504783215,9,4
1504783936,4,6
1504784660,6,5
1504785378,5,5
1504786103,8,0
1504786826,6,7
1504787557,5,7
1504788250,3,0
1504788986,3,7
1504789700,3,7
1504790416,8,0
1504791129,4,5
1504791858,2,2
1504792578,10,9
1504793312,5,5
1504794263,8,4
1504794981,6,3
1504795704,4,9
1504796415,7,10
1504797144,5,7
1504798605,10,14
1504799304,7,2
1504800047,4,5
1504800992,9,3
1504801703,4,9
1504802432,7,0
1504803154,4,4
1504803887,3,4
1504804579,7,10
1504805304,10,3
1504806009,5,7
1504806751,1,5
1504807455,5,6
1504808086,3,5
1504808899,5,9
1504809622,3,10
1504810344,3,13
1504811055,4,0
1504811781,5,6
1504812489,5,17
1504813228,4,5
1504813940,4,14
1504814665,5,5
1504815371,8,4
1504816089,6,6
1504816824,4,8
1504817540,8,9
1504818514,1,6
1504819225,7,7
1504819967,3,7
1504820655,6,9
1504821375,6,5
1504822351,6,11
1504823049,3,17
1504823779,2,0
1504824489,2,4
1504825478,7,10
1504826174,8,7
1504826889,1,3
1504827623,2,4
1504828340,2,5
1504829066,3,7
1504829778,4,8
1504830502,6,0
1504831206,9,6
1504831951,1,4
1504832654,4,5
1504833395,4,3
1504834102,5,8
1504834817,6,14
1504835527,8,7
1504836260,8,5
1504836983,4,8
1504837707,3,9
1504838411,8,9
1504839131,2,0
1504839868,4,11
1504840583,0,5
1504841549,2,10
1504842251,9,8
1504842983,5,8
1504843707,7,14
1504844415,5,3
1504845393,3,1
1504846350,3,3
1504847064,6,6
1504847783,6,6
1504848498,5,3
1504849213,4,3
1504849933,4,0
1504850663,4,5
1504851383,4,4
1504852100,7,7
1504852809,3,3
1504853531,3,3
1504854256,6,3
1504854977,3,8
1504855950,7,3
1504856649,5,4
1504857374,5,4
1504858099,5,5
1504858821,5,7
1504859537,2,0
1504860256,4,10
1504860978,7,0
1504861723,6,14
1504862411,4,0
1504863149,6,8
1504863853,5,0
1504864583,6,2
1504865299,6,5
1504866019,4,7
1504866740,4,8
1504867456,4,3
1504868178,5,7
1504868904,5,8
1504869616,9,2
1504870356,9,6
1504871050,5,8
1504871777,2,8
1504872488,2,0
1504873248,7,5
1504873944,5,2
1504874652,4,11
1504875368,6,0
1504876110,3,6
1504876828,8,6
1504877546,7,4
1504878250,5,2
1504878976,3,5
1504879969,4,4
1504880650,5,17
1504881376,4,0
1504882599,7,9
1504883552,7,17
1504884252,4,0
1504885001,4,9
1504885952,3,3
1504886913,9,5
1504887874,4,13
1504888838,8,9
1504889542,8,0
1504890265,5,11
1504891239,10,16
1504891948,5,2
1504892672,4,7
1504893370,3,10
1504894227,4,7
1504895055,6,10
1504895770,3,5
1504896501,5,15
1504897224,6,0
1504897936,7,8
1504898657,4,8
1504899628,3,4
1504900332,7,21
1504901056,4,0
1504901786,3,11
1504902756,8,6
1504903450,5,4
1504904183,2,9
1504904899,2,0
1504905616,9,16
1504906332,1,0
1504907051,2,7
1504907789,4,2
1504909302,13,21
1504909929,4,0
1504910658,4,3
1504911655,5,10
1504912333,1,4
1504913067,3,6
1504913780,1,6
1504914501,1,7
1504915210,7,5
1504915962,3,9
