DateTime,AddedIPs,RemovedIPs
1504638256,50,53
1504638999,47,39
1504639947,67,64
1504640651,36,42
1504641383,45,45
1504642098,29,43
1504642830,44,37
1504643791,53,65
1504644501,39,34
1504645236,38,61
1504645930,37,54
1504646661,36,37
1504647381,41,47
1504648105,42,43
1504649069,53,61
1504649783,54,36
1504650642,27,54
1504651462,52,58
1504652182,32,39
1504652908,40,43
1504653615,50,56
1504654336,47,54
1504655060,43,27
1504656037,49,55
1504656996,37,109
1504657951,111,52
1504658651,38,50
1504659383,40,30
1504660101,33,35
1504660823,30,36
1504661536,46,36
1504662255,33,21
1504663241,41,53
1504663934,48,60
1504664664,36,38
1504665385,43,26
1504666107,27,89
1504667071,63,130
1504667782,120,32
1504668506,41,36
1504669209,39,40
1504669933,46,54
1504670655,40,35
1504671384,34,48
1504672355,50,39
1504673052,31,64
1504673785,68,82
1504674757,80,91
1504675459,79,60
1504676190,67,63
1504677152,79,87
1504677855,70,90
1504678591,93,67
1504679302,68,65
1504680038,102,38
1504680728,34,48
1504681464,40,33
1504682435,55,48
1504683141,31,40
1504683860,43,30
1504684580,35,44
1504685311,43,38
1504686261,42,77
1504686976,75,28
1504687698,35,37
1504688428,49,44
1504689162,50,38
1504690106,48,40
1504690816,35,34
1504691546,38,33
1504692254,48,46
1504692992,35,37
1504693949,44,52
1504694658,41,30
1504695384,34,33
1504696102,24,32
1504696819,41,39
1504697804,40,48
1504698493,39,25
1504699239,36,36
1504699920,46,37
1504700677,32,42
1504701369,59,48
1504702091,35,45
1504702834,47,41
1504703546,42,27
1504704263,41,38
1504705235,58,45
1504705939,47,49
1504706666,44,42
1504707379,45,36
1504708113,52,47
1504708939,32,31
1504709672,39,44
1504710600,45,47
1504711461,48,43
1504712441,45,49
1504713127,52,46
1504713867,36,57
1504715096,95,49
1504715797,34,45
1504716995,58,46
1504717692,37,47
1504718429,52,31
1504719138,36,33
1504719878,40,25
1504720845,52,63
1504721808,84,83
1504722488,48,36
1504723226,41,57
1504723945,53,36
1504724907,42,69
1504725630,49,42
1504726347,51,55
1504727055,51,31
1504727771,31,45
1504728748,45,61
1504729451,53,63
1504730173,51,52
1504730892,47,59
1504731627,55,54
1504732606,47,66
1504733305,57,64
1504734013,40,39
1504734731,32,45
1504735461,48,40
1504736185,33,47
1504736907,32,63
1504737613,44,31
1504738331,42,37
1504739062,32,45
1504739787,47,37
1504740505,52,36
1504741235,32,34
1504741926,26,39
1504742665,36,31
1504743385,27,47
1504744100,42,25
1504745079,35,36
1504745778,38,43
1504746504,32,29
1504747212,26,112
1504747951,108,45
1504748650,52,40
1504749382,59,43
1504750102,29,39
1504750830,42,41
1504751532,40,36
1504752253,29,32
1504752971,20,32
1504753699,20,23
1504754423,32,45
1504755144,37,58
1504755858,51,38
1504756573,34,39
1504757552,52,35
1504758250,38,46
1504758972,33,54
1504759702,45,93
1504760454,108,34
1504761393,58,37
1504762359,35,61
1504763314,53,58
1504764009,56,99
1504764734,77,106
1504765453,85,85
1504766193,116,50
1504767146,50,46
1504767856,52,40
1504768579,57,36
1504769298,28,33
1504770033,39,33
1504770738,27,37
1504771462,45,40
1504772179,36,22
1504772909,31,36
1504773867,32,43
1504774583,34,29
1504775303,38,33
1504776014,38,41
1504776748,33,21
1504777449,32,45
1504778168,43,35
1504778893,22,30
1504779624,46,41
1504780342,32,36
1504781056,42,33
1504781778,52,52
1504782501,46,33
1504783215,34,45
1504783936,43,28
1504784660,30,27
1504785378,40,45
1504786103,44,31
1504786826,43,34
1504787557,35,41
1504788250,34,30
1504788986,27,26
1504789700,31,49
1504790416,50,44
1504791129,35,42
1504791858,33,49
1504792578,54,29
1504793312,34,47
1504794263,61,46
1504794981,44,38
1504795704,39,53
1504796415,55,67
1504797144,41,30
1504798605,53,44
1504799304,52,35
1504800047,40,44
1504800992,74,73
1504801703,57,30
1504802432,37,37
1504803154,32,30
1504803887,38,39
1504804579,53,55
1504805304,35,46
1504806009,37,31
1504806751,42,38
1504807455,33,39
1504808086,42,40
1504808899,58,40
1504809622,38,41
1504810344,22,34
1504811055,34,31
1504811781,44,64
1504812489,53,39
1504813228,26,30
1504813940,31,26
1504814665,48,54
1504815371,38,43
1504816089,53,52
1504816824,38,42
1504817540,47,62
1504818514,40,138
1504819225,131,36
1504819967,42,54
1504820655,38,38
1504821375,40,41
1504822351,39,49
1504823049,29,38
1504823779,52,61
1504824489,48,76
1504825478,75,51
1504826174,55,51
1504826889,54,38
1504827623,39,33
1504828340,46,51
1504829066,39,28
1504829778,25,40
1504830502,36,24
1504831206,33,34
1504831951,20,46
1504832654,34,42
1504833395,49,37
1504834102,47,56
1504834817,57,50
1504835527,38,32
1504836260,32,40
1504836983,35,37
1504837707,38,47
1504838411,29,29
1504839131,25,31
1504839868,32,17
1504840583,16,47
1504841549,42,45
1504842251,58,70
1504842983,56,131
1504843707,98,144
1504844415,135,79
1504845393,70,143
1504846350,181,45
1504847064,46,56
1504847783,79,45
1504848498,29,32
1504849213,37,40
1504849933,40,49
1504850663,39,75
1504851383,92,40
1504852100,63,36
1504852809,31,24
1504853531,34,56
1504854256,34,39
1504854977,31,32
1504855950,31,41
1504856649,50,46
1504857374,38,29
1504858099,34,30
1504858821,27,57
1504859537,62,30
1504860256,21,15
1504860978,39,30
1504861723,32,42
1504862411,49,43
1504863149,36,37
1504863853,39,52
1504864583,46,44
1504865299,36,22
1504866019,31,40
1504866740,50,43
1504867456,25,62
1504868178,61,53
1504868904,46,24
1504869616,40,28
1504870356,41,66
1504871050,51,37
1504871777,44,30
1504872488,37,24
1504873248,44,57
1504873944,45,41
1504874652,42,50
1504875368,38,31
1504876110,43,33
1504876828,41,49
1504877546,51,36
1504878250,39,52
1504878976,50,49
1504879969,55,55
1504880650,46,59
1504881376,52,45
1504882599,64,59
1504883552,53,47
1504884252,40,31
1504885001,37,38
1504885952,47,62
1504886913,59,73
1504887874,77,48
1504888838,61,63
1504889542,61,43
1504890265,40,49
1504891239,49,77
1504891948,71,39
1504892672,42,45
1504893370,51,30
1504894227,43,38
