DateTime,Entries,UniqueIPs
1504638256,7906,7906
1504638999,7914,7914
1504639947,7917,7917
1504640651,7911,7911
1504641383,7911,7911
1504642098,7897,7897
1504642830,7904,7904
1504643791,7892,7892
1504644501,7897,7897
1504645236,7874,7874
1504645930,7857,7857
1504646661,7856,7856
1504647381,7850,7850
1504648105,7849,7849
1504649069,7841,7841
1504649783,7859,7859
1504650642,7832,7832
1504651462,7826,7826
1504652182,7819,7819
1504652908,7816,7816
1504653615,7810,7810
1504654336,7803,7803
1504655060,7819,7819
1504656037,7813,7813
1504656996,7741,7741
1504657951,7800,7800
1504658651,7788,7788
1504659383,7798,7798
1504660101,7796,7796
1504660823,7790,7790
1504661536,7800,7800
1504662255,7812,7812
1504663241,7800,7800
1504663934,7788,7788
1504664664,7786,7786
1504665385,7803,7803
1504666107,7741,7741
1504667071,7674,7674
1504667782,7762,7762
1504668506,7767,7767
1504669209,7766,7766
1504669933,7758,7758
1504670655,7763,7763
1504671384,7749,7749
1504672355,7760,7760
1504673052,7727,7727
1504673785,7713,7713
1504674757,7702,7702
1504675459,7721,7721
1504676190,7725,7725
1504677152,7717,7717
1504677855,7697,7697
1504678591,7723,7723
1504679302,7726,7726
1504680038,7790,7790
1504680728,7776,7776
1504681464,7783,7783
1504682435,7790,7790
1504683141,7781,7781
1504683860,7794,7794
1504684580,7785,7785
1504685311,7790,7790
1504686261,7755,7755
1504686976,7802,7802
1504687698,7800,7800
1504688428,7805,7805
1504689162,7817,7817
1504690106,7825,7825
1504690816,7826,7826
1504691546,7831,7831
1504692254,7833,7833
1504692992,7831,7831
1504693949,7823,7823
1504694658,7834,7834
1504695384,7835,7835
1504696102,7827,7827
1504696819,7829,7829
1504697804,7821,7821
1504698493,7835,7835
1504699239,7835,7835
1504699920,7844,7844
1504700677,7834,7834
1504701369,7845,7845
1504702091,7835,7835
1504702834,7841,7841
1504703546,7856,7856
1504704263,7859,7859
1504705235,7872,7872
1504705939,7870,7870
1504706666,7872,7872
1504707379,7881,7881
1504708113,7886,7886
1504708939,7887,7887
1504709672,7882,7882
1504710600,7880,7880
1504711461,7885,7885
1504712441,7881,7881
1504713127,7887,7887
1504713867,7866,7866
1504715096,7912,7912
1504715797,7901,7901
1504716995,7913,7913
1504717692,7903,7903
1504718429,7924,7924
1504719138,7927,7927
1504719878,7942,7942
1504720845,7931,7931
1504721808,7932,7932
1504722488,7944,7944
1504723226,7928,7928
1504723945,7945,7945
1504724907,7918,7918
1504725630,7925,7925
1504726347,7921,7921
1504727055,7941,7941
1504727771,7927,7927
1504728748,7911,7911
1504729451,7901,7901
1504730173,7900,7900
1504730892,7888,7888
1504731627,7889,7889
1504732606,7870,7870
1504733305,7863,7863
1504734013,7864,7864
1504734731,7851,7851
1504735461,7859,7859
1504736185,7845,7845
1504736907,7814,7814
1504737613,7827,7827
1504738331,7832,7832
1504739062,7819,7819
1504739787,7829,7829
1504740505,7845,7845
1504741235,7843,7843
1504741926,7830,7830
1504742665,7835,7835
1504743385,7815,7815
1504744100,7832,7832
1504745079,7831,7831
1504745778,7826,7826
1504746504,7829,7829
1504747212,7743,7743
1504747951,7806,7806
1504748650,7818,7818
1504749382,7834,7834
1504750102,7824,7824
1504750830,7825,7825
1504751532,7829,7829
1504752253,7826,7826
1504752971,7814,7814
1504753699,7811,7811
1504754423,7798,7798
1504755144,7777,7777
1504755858,7790,7790
1504756573,7785,7785
1504757552,7802,7802
1504758250,7794,7794
1504758972,7773,7773
1504759702,7725,7725
1504760454,7799,7799
1504761393,7820,7820
1504762359,7794,7794
1504763314,7789,7789
1504764009,7746,7746
1504764734,7717,7717
1504765453,7717,7717
1504766193,7783,7783
1504767146,7787,7787
1504767856,7799,7799
1504768579,7820,7820
1504769298,7815,7815
1504770033,7821,7821
1504770738,7811,7811
1504771462,7816,7816
1504772179,7830,7830
1504772909,7825,7825
1504773867,7814,7814
1504774583,7819,7819
1504775303,7824,7824
1504776014,7821,7821
1504776748,7833,7833
1504777449,7820,7820
1504778168,7828,7828
1504778893,7820,7820
1504779624,7825,7825
1504780342,7821,7821
1504781056,7830,7830
1504781778,7830,7830
1504782501,7843,7843
1504783215,7832,7832
1504783936,7847,7847
1504784660,7850,7850
1504785378,7845,7845
1504786103,7858,7858
1504786826,7867,7867
1504787557,7861,7861
1504788250,7865,7865
1504788986,7866,7866
1504789700,7848,7848
1504790416,7854,7854
1504791129,7847,7847
1504791858,7831,7831
1504792578,7856,7856
1504793312,7843,7843
1504794263,7858,7858
1504794981,7864,7864
1504795704,7850,7850
1504796415,7838,7838
1504797144,7849,7849
1504798605,7858,7858
1504799304,7875,7875
1504800047,7871,7871
1504800992,7872,7872
1504801703,7899,7899
1504802432,7899,7899
1504803154,7901,7901
1504803887,7900,7900
1504804579,7898,7898
