DateTime,Entries,UniqueIPs
1504429897,2168,2168
1504430911,2167,2167
1504431933,2162,2162
1504433671,2155,2155
1504434698,2156,2156
1504435610,2154,2154
1504436196,2158,2158
1504437044,2143,2143
1504437271,2148,2148
1504438240,2146,2146
1504439129,2147,2147
1504439990,2137,2137
1504440857,2145,2145
1504441709,2145,2145
1504444462,2140,2140
1504445436,2126,2126
1504446147,2128,2128
1504446993,2129,2129
1504447843,2130,2130
1504449044,2126,2126
1504450493,2123,2123
1504451426,2122,2122
1504452643,2122,2122
1504453536,2120,2120
1504454541,2115,2115
1504455356,2124,2124
1504456247,2122,2122
1504456959,2117,2117
1504458632,2128,2128
1504459890,2119,2119
1504460732,2134,2134
1504461390,2138,2138
1504462466,2136,2136
1504464062,2124,2124
1504465831,2095,2095
1504466724,2078,2078
1504467754,2082,2082
1504468772,2066,2066
1504469814,2074,2074
1504471231,2056,2056
1504473041,2063,2063
1504474103,2066,2066
1504476641,2031,2031
1504477502,2041,2041
1504479400,2044,2044
1504480263,2030,2030
1504481432,2024,2024
1504482329,2036,2036
1504483835,2023,2023
1504484988,2012,2012
1504486013,2016,2016
1504487663,2020,2020
1504488636,2005,2005
1504490353,1991,1991
1504491335,2000,2000
1504492231,1987,1987
1504493130,1983,1983
1504494863,1974,1974
1504496366,1968,1968
1504497330,1978,1978
1504498239,1973,1973
1504499254,1974,1974
1504500151,1965,1965
1504500992,1966,1966
1504501834,1957,1957
1504502909,1956,1956
1504503744,1940,1940
1504504785,1934,1934
1504506506,1934,1934
1504507488,1917,1917
1504509046,1915,1915
1504510238,1908,1908
1504511486,1908,1908
1504512637,1910,1910
1504513705,1919,1919
1504514562,1902,1902
1504516247,1904,1904
1504517126,1917,1917
1504519265,1901,1901
1504520141,1906,1906
1504521041,1894,1894
1504523438,1903,1903
1504524327,1913,1913
1504525480,1898,1898
1504526845,1892,1892
1504528944,1874,1874
1504530461,1894,1894
1504531409,1909,1909
1504532381,1900,1900
1504533392,1909,1909
1504534236,1838,1838
1504535111,1827,1827
1504536051,1830,1830
1504537293,1845,1845
1504538064,1852,1852
1504538903,1867,1867
1504539813,1865,1865
1504540588,1882,1882
1504541433,1883,1883
1504543355,1898,1898
1504544194,1920,1920
1504545039,1927,1927
1504545899,1940,1940
1504546824,1685,1685
1504548213,1690,1690
1504549233,1703,1703
1504550126,1696,1696
1504551331,1707,1707
1504552245,1694,1694
1504553434,1934,1934
1504555058,2057,2057
1504556065,2061,2061
1504557024,2064,2064
1504558171,2069,2069
1504559671,2071,2071
1504560504,2083,2083
1504562187,2084,2084
1504563037,2078,2078
1504564242,2083,2083
1504565138,2089,2089
1504566629,2099,2099
1504568544,2112,2112
1504569818,2109,2109
1504570856,2130,2130
1504571725,2128,2128
1504572145,2132,2132
1504573843,2149,2149
1504574732,2153,2153
1504575615,2163,2163
1504576523,2169,2169
1504577435,2177,2177
1504578634,2172,2172
1504579529,2180,2180
1504580701,2192,2192
1504581633,2199,2199
1504582104,2206,2206
1504583723,2211,2211
1504584642,2219,2219
1504585688,2224,2224
1504586553,2222,2222
1504587665,2224,2224
1504588469,2231,2231
1504589429,2238,2238
1504590146,2237,2237
1504590988,2246,2246
1504593291,2247,2247
1504594534,2257,2257
1504595439,2256,2256
1504596634,2257,2257
1504597529,2267,2267
1504599277,2275,2275
1504600967,2283,2283
1504602072,2285,2285
1504602909,2288,2288
1504603836,2287,2287
1504605321,2298,2298
1504606240,2295,2295
1504607125,2294,2294
1504608044,2290,2290
1504608990,2297,2297
1504609840,2293,2293
1504611888,2321,2321
1504612790,2327,2327
1504613740,2339,2339
1504615323,2341,2341
1504617036,2342,2342
1504618089,2352,2352
1504619224,2347,2347
1504620634,2349,2349
1504621799,2337,2337
1504622726,2352,2352
1504623674,2350,2350
1504624464,2357,2357
1504625437,2350,2350
1504627758,2363,2363
1504629037,2368,2368
1504629933,2370,2370
1504631734,2381,2381
1504632631,2376,2376
1504633532,2383,2383
1504634187,2390,2390
1504635031,2385,2385
1504637764,2403,2403
