DateTime,AddedIPs,RemovedIPs
1504425414,142,152
1504426223,68,62
1504428138,147,140
1504428979,48,2
1504429839,47,68
1504430898,65,1
1504433658,158,196
1504434646,48,104
1504435556,56,44
1504436179,52,0
1504437030,50,76
1504437261,6,0
1504438227,57,332
1504439116,44,0
1504439982,46,120
1504440819,60,9
1504441697,52,0
1504444454,150,232
1504445403,63,94
1504446136,50,38
1504446976,44,0
1504447824,57,69
1504449022,79,133
1504450453,100,40
1504451400,57,66
1504452623,60,86
1504453518,56,36
1504456225,144,176
1504456942,43,30
1504458624,85,79
1504459848,59,95
1504460717,56,0
1504461378,37,0
1504462457,58,89
1504464024,86,148
1504465822,99,86
1504466715,52,2
1504467737,63,79
1504468763,60,80
1504469763,42,7
1504471218,82,102
1504473026,86,116
1504474095,52,2
1504476632,133,216
1504477493,42,0
1504479379,107,122
1504480234,35,71
1504481419,71,76
1504482317,54,1
1504482975,41,1
1504483827,49,96
1504484939,72,0
1504485996,48,118
1504487654,89,61
1504488621,61,79
1504490336,97,82
1504491319,49,9
1504492218,50,87
1504493116,49,22
1504494855,85,73
1504496358,73,134
1504497319,49,0
1504498225,56,59
1504499246,63,0
1504500139,63,112
1504500975,35,0
1504501826,34,75
1504502900,60,1
1504503735,47,116
1504504777,58,65
1504505721,45,5
1504506497,30,1
1504507479,45,130
1504509027,71,65
1504510220,65,110
1504511470,72,38
1504512628,60,60
1504513695,60,0
1504514543,57,143
1504516229,116,83
1504517117,53,0
1504519252,139,213
1504520124,59,0
1504521022,57,96
1504523429,137,112
1504524318,49,2
1504525471,56,138
1504526822,79,66
1504528935,119,146
1504530453,86,63
1504531392,59,0
1504532358,68,141
1504533375,339,2
1504534227,48,73
1504535089,53,0
1504536018,64,167
1504537271,68,92
1504538055,92,0
1504538895,40,0
1504539804,64,135
1504540576,57,0
1504541424,47,76
1504543337,104,132
1504544179,65,1
1504545027,49,72
1504545891,41,0
1504546815,51,132
1504548194,84,97
1504549221,67,0
1504550116,45,104
1504551317,67,37
1504552228,52,76
1504553422,76,101
1504555042,96,35
1504556056,71,70
1504556993,62,114
1504558148,84,38
1504559656,108,65
1504560495,42,0
1504562175,110,130
1504563027,39,72
1504564222,52,96
1504565118,56,43
1504568415,161,196
1504568535,6,0
1504569795,76,71
