DateTime,AddedIPs,RemovedIPs
1503989773,14,16
1503991704,19,22
1503993620,19,19
1503995551,11,8
1503997463,11,6
1503999387,4,9
1504001305,5,7
1504005131,9,16
1504007061,17,8
1504008994,6,8
1504010890,13,5
1504012830,10,9
1504014743,9,26
1504016653,24,18
1504018843,18,16
1504020742,14,22
1504022660,20,27
1504026489,6,25
1504028422,12,0
1504030598,14,0
1504032495,20,17
1504039226,17,47
1504041146,14,12
1504043066,20,32
1504045404,16,19
1504047374,8,13
1504049290,19,0
1504051236,15,20
1504053146,8,0
1504055078,14,27
1504056970,11,0
1504060829,11,53
1504062757,11,21
1504064652,10,0
1504066586,20,41
1504068507,18,19
1504070437,19,0
1504072341,17,24
1504074257,29,17
1504076184,12,16
1504078104,18,0
1504081938,5,41
1504083859,8,11
1504085787,4,14
1504087702,4,2
1504089617,10,6
1504091531,16,0
1504093455,7,8
1504095381,5,19
1504097311,6,18
1504099216,9,0
1504101134,10,8
1504103065,32,28
1504104988,25,0
1504106904,21,20
1504108830,18,12
1504110735,15,19
1504112670,22,0
1504114584,17,5
1504117142,32,30
1504119140,6,21
1504121051,24,0
1504122985,12,0
1504124905,28,0
1504126811,9,18
1504128749,10,15
1504130657,4,17
1504132571,8,19
1504134490,18,9
1504136410,26,17
1504138329,25,14
1504140252,18,7
1504142170,23,17
1504144093,28,10
1504146031,23,0
1504147945,15,9
1504149851,18,12
1504151792,14,14
1504153693,25,15
1504155644,15,13
1504157546,23,21
1504159464,15,17
1504161388,32,28
1504163296,21,11
1504165225,17,26
1504167158,7,0
1504169057,12,9
1504170975,7,9
1504172892,5,7
1504174836,8,2
1504176742,11,7
1504178671,10,15
1504182498,16,11
1504184438,6,4
1504186353,7,7
1504188266,4,6
1504190180,18,26
1504192352,19,23
1504194262,28,18
1504196174,18,12
1504198111,16,14
1504200020,23,21
1504202202,19,21
1504204108,20,28
1504206041,16,6
1504207944,15,24
1504210124,9,11
1504212036,17,27
1504213946,6,7
1504215856,28,9
1504218085,26,4
1504219939,6,6
1504221852,19,21
1504223779,14,16
1504225708,24,26
1504227629,19,20
1504229558,13,20
1504231461,19,28
1504233390,20,27
1504235311,22,15
1504237218,14,27
1504239141,24,14
1504241065,29,27
1504242992,30,13
1504244915,32,23
1504246841,31,14
1504248735,23,32
1504250652,30,27
1504256432,9,35
1504258339,3,7
1504260265,9,3
1504262196,11,9
1504266030,9,23
1504267953,9,0
1504269868,7,12
1504271783,7,7
1504275639,19,11
1504277549,6,17
1504279730,25,18
1504281634,11,25
1504283561,27,16
1504285454,13,17
1504287390,34,22
1504289426,33,19
1504291467,18,25
1504293384,18,17
1504295301,22,12
1504297228,22,9
1504299146,19,18
1504301049,22,5
1504302985,12,32
1504304886,23,19
1504306830,13,4
1504308736,24,17
1504310667,22,10
1504312583,14,22
1504314508,6,19
1504316407,20,10
1504318347,10,19
1504320249,16,20
1504322444,27,19
1504324330,17,15
1504326257,21,25
1504328184,25,29
1504330110,16,26
1504332046,12,29
1504333976,21,38
1504335860,8,12
1504337793,24,32
1504339692,21,0
1504341637,12,0
1504343540,6,9
1504345465,7,6
1504347394,9,11
1504349301,11,10
1504351215,10,0
1504355052,17,18
1504356988,17,10
1504358895,14,9
1504360828,5,0
1504362745,19,11
1504364664,10,7
1504366833,12,29
1504368738,24,12
1504370672,16,24
1504372573,18,13
1504376671,29,63
1504378586,16,21
1504380502,26,17
1504382426,25,24
1504384357,24,23
1504386260,21,24
1504388187,31,20
1504390114,18,9
1504392016,22,23
1504394689,26,11
1504396574,22,22
1504398494,30,20
1504400432,22,9
1504402288,24,7
1504404277,18,13
1504406191,18,9
1504408117,22,18
1504410018,26,25
1504411933,19,18
1504414113,20,20
1504416029,19,19
1504417946,24,17
1504419856,24,17
1504421768,19,24
1504423703,19,10
1504425631,7,23
1504427534,8,19
1504429465,12,8
1504431383,2,6
1504433305,7,8
1504435214,3,8
1504437137,10,8
1504439062,7,8
1504440981,10,0
1504442890,3,19
1504444833,10,19
1504446733,31,16
1504448657,17,3
1504450584,19,18
1504452505,26,9
1504454431,24,12
1504456343,20,21
1504458266,25,16
1504460184,17,17
1504462218,21,0
1504464263,17,32
1504466170,23,21
1504468091,32,28
1504470011,33,19
1504471938,21,21
1504473850,34,20
1504476033,30,30
1504477939,30,17
1504480102,19,29
1504482026,32,17
1504483949,30,14
1504485857,28,21
1504487786,29,23
1504489703,16,21
1504491615,28,24
1504493546,34,18
1504495453,22,21
1504497382,37,34
1504499307,21,20
1504501234,22,22
1504503155,22,17
1504505057,29,22
1504506982,17,26
1504508902,11,22
1504510811,15,27
1504512749,12,8
