DateTime,Entries,UniqueIPs
1503989773,3902,3968
1503991704,3895,3962
1503993620,3897,3964
1503995551,3886,3952
1503997463,3881,3946
1503999387,3875,3940
1504001305,3865,3930
1504005131,3857,3922
1504007061,3860,3925
1504008994,3857,3922
1504010890,3861,3926
1504012830,3863,3928
1504014743,3865,3930
1504016653,3869,3934
1504018843,3864,3929
1504020742,3852,3917
1504022660,3861,3927
1504026489,3833,3899
1504028422,3828,3893
1504030598,3829,3893
1504032495,3830,3893
1504039226,3828,3891
1504041146,3828,3891
1504043066,3829,3892
1504045404,3826,3889
1504047374,3818,3881
1504049290,3813,3876
1504051236,3804,3867
1504053146,3781,3844
1504055078,3781,3844
1504056970,3784,3848
1504060829,3765,3829
1504062757,3772,3836
1504064652,3759,3825
1504066586,3755,3821
1504068507,3727,3792
1504070437,3727,3793
1504072341,3735,3801
1504074257,3744,3812
1504076184,3732,3800
1504078104,3730,3798
1504081938,3704,3772
1504083859,3698,3766
1504085787,3687,3755
1504087702,3681,3750
1504089617,3680,3749
1504091531,3685,3754
1504093455,3682,3751
1504095381,3682,3751
1504097311,3682,3751
1504099216,3680,3749
1504101134,3685,3754
1504103065,3698,3767
1504104988,3711,3780
1504106904,3713,3782
1504108830,3719,3789
1504110735,3716,3786
1504112670,3720,3790
1504114584,3730,3801
1504117142,3729,3799
1504119140,3724,3794
1504121051,3720,3790
1504122985,3725,3795
1504124905,3727,3798
1504126811,3729,3800
1504128749,3728,3799
1504130657,3724,3795
1504132571,3720,3791
1504134490,3730,3801
1504136410,3730,3804
1504138329,3742,3816
1504140252,3741,3815
1504142170,3753,3827
1504144093,3762,3836
1504146031,3757,3831
1504147945,3755,3828
1504149851,3763,3837
1504151792,3747,3821
1504153693,3761,3835
1504155644,3761,3835
1504157546,3766,3841
1504159464,3760,3835
1504161388,3758,3834
1504163296,3754,3830
1504165225,3749,3825
1504167158,3740,3816
1504169057,3738,3814
1504170975,3742,3818
1504172892,3743,3819
1504174836,3747,3823
1504176742,3744,3821
1504178671,3742,3819
1504182498,3742,3819
1504184438,3741,3818
1504186353,3739,3816
1504188266,3732,3809
1504190180,3732,3809
1504192352,3732,3809
1504194262,3741,3818
1504196174,3739,3816
1504198111,3736,3814
1504200020,3741,3819
1504202202,3735,3813
1504204108,3736,3816
1504206041,3730,3810
1504207944,3728,3807
1504210124,3720,3799
1504212036,3723,3801
1504213946,3712,3790
1504215856,3727,3806
1504218085,3734,3814
1504219939,3725,3805
1504221852,3734,3814
1504223779,3729,3809
1504225708,3738,3817
1504227629,3750,3830
1504229558,3747,3826
