DateTime,AddedIPs,RemovedIPs
1504533393,86,180
1504534350,259,202
1504535311,291,179
1504536255,284,170
1504537243,276,97
1504538174,195,145
1504539144,263,168
1504540106,464,189
1504541077,418,178
1504542048,184,123
1504543005,127,180
1504543934,204,171
1504544921,242,192
1504545869,189,140
1504546848,179,166
1504547773,187,225
1504548770,134,209
1504549695,185,33
1504550684,269,378
1504551615,177,26
1504552605,154,280
1504553540,150,25
1504554761,350,496
1504555709,246,50
1504556657,245,242
1504557634,230,430
1504558574,248,42
1504559550,175,126
1504560515,257,383
1504561457,197,33
1504562709,299,468
1504563617,187,31
1504564589,161,455
1504565534,167,16
1504566519,201,122
1504567453,185,225
1504568418,188,225
1504569397,219,249
1504570350,140,225
1504571291,216,205
1504572268,200,143
1504573230,172,220
1504574182,155,226
1504575155,153,183
1504576095,195,235
1504577062,165,180
1504578044,175,238
1504578973,134,199
1504580003,188,175
1504581152,182,148
1504582090,203,194
1504583071,182,216
1504584215,211,215
1504585217,162,184
1504586177,209,138
1504587144,212,375
1504588110,196,206
1504589055,133,28
1504590025,145,349
1504590970,138,17
1504591963,188,400
1504592891,198,32
1504593864,248,432
1504594827,154,24
1504595780,101,167
1504596745,242,424
1504597695,174,20
1504598686,234,442
1504599621,154,117
1504600584,70,16
1504601539,204,371
1504602505,128,17
1504603453,198,241
1504604422,162,152
1504605330,125,148
1504606242,169,236
1504607303,206,290
1504608256,176,147
1504609252,145,252
1504610183,123,22
1504611147,160,206
1504612104,177,31
1504613086,208,159
1504614030,162,71
1504615004,127,57
1504615932,148,18
1504616910,184,94
1504617852,199,31
1504618843,161,119
1504619771,120,12
1504620764,237,489
1504621693,137,37
1504622684,271,579
1504623620,151,17
1504624609,163,524
1504625538,130,14
1504626509,306,812
1504627463,141,25
1504628453,170,292
1504629405,102,23
1504631344,432,600
1504632271,217,172
1504633230,204,30
1504634185,187,261
1504635174,165,173
1504636110,178,186
1504637073,165,32
1504638030,97,246
1504639010,67,131
1504639958,117,241
1504640913,200,42
1504641862,260,240
1504642841,187,226
1504643802,172,172
1504644737,307,273
1504645705,258,201
1504646672,235,201
1504647612,190,226
1504648592,212,328
1504649538,141,227
1504650654,233,162
1504651702,213,216
1504652659,253,232
1504653626,190,201
1504654588,159,162
1504655547,203,227
1504656512,183,125
1504657455,242,268
1504658419,162,210
1504659393,164,189
1504660340,187,186
1504661303,230,168
1504662268,227,285
1504663252,167,237
1504664193,157,180
1504665137,143,115
1504666119,220,172
1504667083,226,228
1504668024,114,265
1504668988,130,239
1504669944,205,246
