DateTime,Entries,UniqueIPs
1504533393,2447,2447
1504534350,2444,2444
1504535311,2428,2428
1504536255,2418,2418
1504537243,2411,2411
1504538174,2403,2403
1504539144,2391,2391
1504540106,2422,2422
1504541077,2432,2432
1504542048,2430,2430
1504543005,2434,2434
1504543934,2436,2436
1504544921,2439,2439
1504545869,2440,2440
1504546848,2435,2435
1504547773,2430,2430
1504548770,2433,2433
1504549695,2435,2435
1504550684,2445,2445
1504551615,2455,2455
1504552605,2462,2462
1504553540,2462,2462
1504554761,2453,2453
1504555709,2459,2459
1504556657,2465,2465
1504557634,2471,2471
1504558574,2471,2471
1504559550,2471,2471
1504560515,2466,2466
1504561457,2458,2458
1504562709,2451,2451
1504563617,2461,2461
1504564589,2463,2463
1504565534,2464,2464
1504566519,2459,2459
1504567453,2454,2454
1504568418,2463,2463
1504569397,2461,2461
1504570350,2459,2459
1504571291,2457,2457
1504572268,2445,2445
1504573230,2432,2432
1504574182,2429,2429
1504575155,2426,2426
1504576095,2421,2421
1504577062,2416,2416
1504578044,2411,2411
1504578973,2411,2411
1504580003,2415,2415
1504581152,2401,2401
1504582090,2398,2398
1504583071,2387,2387
1504584215,2379,2379
1504585217,2380,2380
1504586177,2395,2395
1504587144,2391,2391
1504588110,2395,2395
1504589055,2392,2392
1504590025,2395,2395
1504590970,2391,2391
1504591963,2389,2389
1504592891,2385,2385
1504593864,2393,2393
1504594827,2388,2388
1504595780,2395,2395
1504596745,2397,2397
1504597695,2401,2401
1504598686,2403,2403
1504599621,2399,2399
1504600584,2398,2398
1504601539,2395,2395
1504602505,2388,2388
1504603453,2380,2380
1504604422,2389,2389
1504605330,2394,2394
1504606242,2401,2401
1504607303,2398,2398
1504608256,2399,2399
1504609252,2398,2398
1504610183,2398,2398
1504611147,2394,2394
1504612104,2392,2392
1504613086,2383,2383
1504614030,2382,2382
1504615004,2384,2384
1504615932,2387,2387
1504616910,2390,2390
1504617852,2387,2387
1504618843,2385,2385
1504619771,2382,2382
1504620764,2387,2387
1504621693,2391,2391
1504622684,2387,2387
1504623620,2381,2381
1504624609,2380,2380
1504625538,2386,2386
1504626509,2400,2400
1504627463,2392,2392
1504628453,2385,2385
1504629405,2388,2388
1504631344,2407,2407
1504632271,2414,2414
1504633230,2413,2413
1504634185,2418,2418
1504635174,2422,2422
1504636110,2426,2426
1504637073,2431,2431
1504638030,2429,2429
1504639010,2424,2424
1504639958,2424,2424
1504640913,2425,2425
1504641862,2421,2421
1504642841,2424,2424
1504643802,2434,2434
1504644737,2441,2441
1504645705,2442,2442
1504646672,2449,2449
1504647612,2456,2456
1504648592,2462,2462
1504649538,2459,2459
1504650654,2462,2462
1504651702,2455,2455
1504652659,2448,2448
1504653626,2460,2460
1504654588,2473,2473
1504655547,2477,2477
1504656512,2471,2471
1504657455,2472,2472
1504658419,2480,2480
1504659393,2483,2483
1504660340,2491,2491
1504661303,2487,2487
1504662268,2476,2476
1504663252,2478,2478
1504664193,2473,2473
1504665137,2462,2462
1504666119,2461,2461
1504667083,2458,2458
1504668024,2456,2456
1504668988,2460,2460
1504669944,2460,2460
1504670906,2456,2456
1504671856,2459,2459
1504672816,2465,2465
1504673796,2461,2461
1504674768,2456,2456
1504675711,2463,2463
1504676668,2459,2459
1504677635,2452,2452
1504678602,2446,2446
1504679602,2448,2448
1504680507,2458,2458
1504681475,2480,2480
1504682447,2477,2477
1504683394,2479,2479
1504684337,2475,2475
1504685322,2491,2491
1504686272,2490,2490
1504687229,2492,2492
1504688172,2490,2490
1504689172,2488,2488
1504690120,2488,2488
1504691061,2488,2488
1504692033,2492,2492
1504693002,2496,2496
1504693960,2496,2496
1504694916,2493,2493
1504695864,2489,2489
1504696830,2494,2494
1504697815,2492,2492
1504698756,2498,2498
1504699931,2513,2513
1504700914,2499,2499
1504701855,2497,2497
1504702846,2508,2508
1504703792,2515,2515
1504704751,2498,2498
1504705696,2497,2497
1504706677,2502,2502
1504707619,2513,2513
1504708950,2513,2513
1504710069,2511,2511
1504710998,2508,2508
1504711954,2504,2504
1504712906,2518,2518
1504713878,2530,2530
1504715118,2536,2536
1504716360,2527,2527
1504717462,2513,2513
1504718440,2513,2513
1504719397,2500,2500
1504720347,2498,2498
1504721414,2494,2494
1504722499,2505,2505
1504723458,2506,2506
1504724447,2501,2501
1504725373,2499,2499
1504726359,2489,2489
1504727299,2494,2494
1504728261,2497,2497
1504729229,2497,2497
1504730184,2499,2499
1504731146,2502,2502
1504732117,2509,2509
1504733052,2501,2501
1504734024,2496,2496
1504734981,2501,2501
1504735950,2510,2510
1504736917,2511,2511
1504737854,2522,2522
1504738826,2521,2521
1504739799,2517,2517
1504740739,2510,2510
1504741705,2523,2523
1504742676,2537,2537
1504743616,2527,2527
1504744605,2519,2519
1504745532,2516,2516
1504746515,2520,2520
1504747459,2511,2511
1504748413,2503,2503
1504749394,2496,2496
1504750335,2500,2500
1504751302,2504,2504
1504752264,2517,2517
1504753232,2521,2521
1504754171,2525,2525
1504755155,2525,2525
1504756101,2520,2520
1504757065,2523,2523
1504758034,2520,2520
1504758983,2524,2524
1504759933,2526,2526
1504760909,2532,2532
1504761854,2532,2532
1504762835,2549,2549
1504763786,2553,2553
1504764744,2552,2552
1504765712,2556,2556
1504766670,2555,2555
1504767619,2552,2552
1504768590,2555,2555
1504769547,2553,2553
1504770496,2552,2552
1504771473,2549,2549
1504772417,2547,2547
1504773386,2557,2557
1504774348,2579,2579
1504775314,2585,2585
1504776351,2579,2579
1504777461,2581,2581
1504778431,2579,2579
1504779371,2574,2574
1504780353,2579,2579
1504781294,2580,2580
1504782262,2576,2576
1504783227,2563,2563
1504784184,2552,2552
1504785147,2550,2550
1504786115,2538,2538
1504787060,2538,2538
1504788013,2543,2543
1504788997,2540,2540
1504789943,2539,2539
1504790924,2528,2528
1504791869,2528,2528
1504792822,2534,2534
1504793794,2537,2537
1504794734,2537,2537
1504795714,2528,2528
1504796663,2525,2525
1504798616,2528,2528
1504799540,2522,2522
1504800507,2536,2536
1504801453,2528,2528
1504802443,2528,2528
1504803478,2524,2524
1504804592,2530,2530
1504805532,2534,2534
1504806515,2539,2539
1504807468,2536,2536
1504808435,2524,2524
1504809374,2529,2529
1504810355,2532,2532
1504811293,2527,2527
1504812258,2522,2522
1504813240,2518,2518
1504814174,2516,2516
1504815143,2516,2516
1504816100,2515,2515
