DateTime,AddedIPs,RemovedIPs
1504533391,7,1
1504534348,6,12
1504535308,4,3
1504536253,6,3
1504537241,7,5
1504538172,10,7
1504539142,5,1
1504540103,10,8
1504541074,7,9
1504542046,6,2
1504543003,3,5
1504543931,2,0
1504544919,5,3
1504545866,5,5
1504546846,6,4
1504547770,4,0
1504548768,2,5
1504549693,8,0
1504550682,6,4
1504551613,7,0
1504552603,9,7
1504553538,9,0
1504554759,9,9
1504555707,9,0
1504556655,10,3
1504557632,10,4
1504558572,6,6
1504559548,3,1
1504560513,6,3
1504561455,5,9
1504562703,8,5
1504563615,8,5
1504564587,5,0
1504565530,4,4
1504566516,6,6
1504567450,5,3
1504568416,13,6
1504569395,3,9
1504570348,4,3
1504571289,7,7
1504572265,3,8
1504573228,1,7
1504574179,2,6
1504575153,11,5
1504576093,3,5
1504577060,2,8
1504578042,3,7
1504578971,8,6
1504580001,13,10
1504581150,3,4
1504582088,11,8
1504583069,3,10
1504584213,5,5
1504585215,9,4
1504586175,10,7
1504587141,5,4
1504588108,5,5
1504589053,3,3
1504590023,9,9
1504590968,3,4
1504591961,8,3
1504592890,7,10
1504593862,15,7
1504594826,8,5
1504595778,10,15
1504596743,3,6
1504597692,6,13
1504598683,5,1
1504599619,4,0
1504600582,2,16
1504601535,7,0
1504602503,6,11
1504603450,5,0
1504604420,5,4
1504605328,6,7
1504606238,4,4
1504607301,5,2
1504608254,6,3
1504609250,11,3
1504610181,3,4
1504611145,9,2
1504612102,4,8
1504613083,3,5
1504614028,7,6
1504615002,9,3
1504615930,5,10
1504616908,5,6
1504617850,7,4
1504618841,4,2
1504619769,7,5
1504620762,3,5
1504621691,9,3
1504622680,6,19
1504623618,7,0
1504624607,2,4
1504625536,10,8
1504626507,20,6
1504627462,0,2
1504628451,0,5
1504629403,9,8
1504631342,22,12
1504632269,10,9
1504633228,15,3
1504634182,7,7
1504635172,8,0
1504636108,9,8
1504637070,9,3
1504638028,5,4
1504639008,2,3
1504639956,3,5
1504640911,10,6
1504641859,13,8
1504642839,12,8
1504643800,15,2
1504644735,8,6
1504645703,8,1
1504646670,5,5
1504647610,7,3
1504648590,7,5
1504649536,7,7
1504650652,10,2
1504651700,5,7
1504652657,8,7
1504653624,8,10
1504654586,10,15
1504655545,9,10
1504656510,8,4
1504657453,10,8
1504658417,12,2
1504659391,4,12
1504660337,8,5
1504661301,7,6
1504662263,8,10
1504663250,8,5
1504664191,2,7
1504665135,5,0
1504666116,8,10
1504667080,4,7
1504668022,5,0
1504668986,10,13
1504669941,2,3
1504670904,7,0
1504671853,6,6
1504672814,6,6
1504673794,2,21
1504674766,3,0
1504675707,8,8
1504676666,7,13
1504677633,1,4
1504678600,7,11
1504679600,9,2
1504680505,11,5
1504681473,11,2
1504682445,9,8
1504683392,4,3
1504684335,7,8
1504685320,7,2
1504686270,7,10
1504687227,8,10
1504688170,8,12
1504689171,8,7
1504690115,7,6
1504691059,9,6
1504692031,7,9
1504693000,6,18
1504693958,3,2
1504694914,11,10
1504695862,6,4
1504696828,14,2
1504697813,11,8
1504698754,4,8
1504699929,13,14
1504700911,5,1
1504701853,7,6
1504702843,16,4
1504703790,5,9
1504704749,2,2
1504705695,4,8
1504706674,4,13
1504707617,11,3
1504708948,12,4
1504710058,9,4
1504710996,8,17
1504711952,6,0
1504712904,7,13
1504713876,5,9
1504715111,10,7
1504716357,7,7
1504717460,7,1
1504718438,2,6
1504719395,4,7
1504720344,4,8
1504721413,5,29
1504722496,7,15
1504723456,9,0
1504724445,7,4
1504725371,5,8
1504726357,3,3
1504727297,10,10
1504728259,6,1
1504729227,9,0
1504730182,8,8
1504731144,8,38
1504732115,7,7
1504733050,8,28
1504734022,5,0
1504734980,14,15
1504735948,15,22
1504736916,5,14
1504737852,14,16
1504738824,14,5
1504739797,8,8
1504740737,7,9
1504741703,15,12
1504742673,7,0
1504743614,8,10
1504744603,7,1
1504745530,4,11
1504746513,4,1
1504747457,2,6
1504748411,5,8
1504749392,10,7
1504750333,9,12
1504751300,8,8
1504752262,16,9
1504753230,10,2
1504754169,5,8
1504755153,6,12
1504756099,5,15
1504757061,5,5
1504758032,10,8
1504758981,11,1
1504759931,17,9
1504760907,17,0
1504761852,7,12
1504762833,13,4
1504763784,3,6
1504764742,7,4
1504765710,15,6
1504766668,8,4
1504767616,7,2
1504768588,9,3
1504769544,8,4
1504770494,5,8
1504771471,12,4
1504772415,6,7
1504773384,11,8
1504774346,18,3
1504775312,12,1
1504776348,10,4
1504777458,9,4
1504778429,6,2
1504779369,6,6
1504780351,6,2
1504781291,10,20
1504782260,8,8
1504783225,7,8
1504784182,8,1
1504785144,7,6
1504786113,6,8
1504787058,7,8
1504788010,9,6
1504788995,7,6
1504789941,8,10
1504790922,11,4
1504791867,9,5
1504792820,12,6
1504793792,7,9
1504794732,7,5
1504795712,3,8
1504796659,2,1
1504798614,15,10
1504799538,3,4
1504800505,10,2
1504801451,7,3
1504802441,8,0
1504803476,9,4
1504804589,11,6
1504805530,7,2
1504806513,7,7
1504807465,9,3
1504808433,1,6
1504809372,16,2
1504810353,14,9
1504811291,5,1
1504812255,8,0
1504813237,7,9
1504814172,6,0
1504815140,8,3
1504816098,9,3
1504817054,13,2
1504818033,9,7
1504818974,1,7
1504819976,4,9
1504820889,8,8
1504821869,8,13
1504822833,8,5
1504823788,7,13
