DateTime,AddedIPs,RemovedIPs
1504533391,7,8
1504534348,6,7
1504535308,4,8
1504536253,6,5
1504537241,7,9
1504538172,10,12
1504539142,6,8
1504540103,10,6
1504541074,7,7
1504542046,6,3
1504543003,3,3
1504543931,2,1
1504544919,5,4
1504545866,5,1
1504546846,6,8
1504547770,4,2
1504548768,2,2
1504549693,8,6
1504550682,6,5
1504551613,7,2
1504552603,9,4
1504553538,9,7
1504554759,9,16
1504555707,9,7
1504556655,10,5
1504557632,10,2
1504558572,6,7
1504559548,3,6
1504560513,6,8
1504561455,5,6
1504562703,8,11
1504563615,8,1
1504564587,5,3
1504565530,4,4
1504566516,6,9
1504567450,5,9
1504568416,13,5
1504569395,3,4
1504570348,4,8
1504571289,7,7
1504572265,3,14
1504573228,1,15
1504574179,2,5
1504575153,11,18
1504576093,3,9
1504577060,2,9
1504578042,3,9
1504578971,8,10
1504580001,13,11
1504581150,3,11
1504582088,11,12
1504583069,3,13
1504584213,5,11
1504585215,9,6
1504586175,10,2
1504587141,5,8
1504588108,5,4
1504589053,3,8
1504590023,9,7
1504590968,3,4
1504591961,8,8
1504592890,7,8
1504593862,15,7
1504594826,8,16
1504595778,10,5
1504596743,3,5
1504597692,6,2
1504598683,5,3
1504599619,4,4
1504600582,2,4
1504601535,7,2
1504602503,6,5
1504603450,5,2
1504604420,5,5
1504605328,6,8
1504606238,4,3
1504607301,5,3
1504608254,6,7
1504609250,11,14
1504610181,3,4
1504611145,9,8
1504612102,4,8
1504613083,3,8
1504614028,7,5
1504615002,9,11
1504615930,5,5
1504616908,5,5
1504617850,7,5
1504618841,4,9
1504619769,7,2
1504620762,3,2
1504621691,9,4
1504622680,6,15
1504623618,7,9
1504624607,2,6
1504625536,10,6
1504626507,20,9
1504627462,0,5
1504628451,0,6
1504629403,9,3
1504631342,22,11
1504632269,10,6
1504633228,15,9
1504634182,7,2
1504635172,8,4
1504636108,9,8
1504637070,9,8
1504638028,5,5
1504639008,2,5
1504639956,3,4
1504640911,10,8
1504641859,13,8
1504642839,12,6
1504643800,15,3
1504644735,8,3
1504645703,8,3
1504646670,5,4
1504647610,7,5
1504648590,7,2
1504649536,7,10
1504650652,10,4
1504651700,5,8
1504652657,8,6
1504653624,8,1
1504654586,10,1
1504655545,9,4
1504656510,8,7
1504657453,10,2
1504658417,12,13
1504659391,4,3
1504660337,8,7
1504661301,7,10
1504662263,8,20
1504663250,8,6
1504664191,2,11
1504665135,5,13
1504666116,8,10
1504667080,4,7
1504668022,5,6
1504668986,10,6
1504669941,2,4
1504670904,7,8
1504671853,6,6
1504672814,6,4
1504673794,2,4
1504674766,3,2
1504675707,8,6
1504676666,7,4
1504677633,1,3
1504678600,7,0
1504679600,9,10
1504680505,11,11
1504681473,11,8
1504682445,9,5
1504683392,4,3
1504684335,7,8
1504685320,7,3
1504686270,7,6
1504687227,8,4
1504688170,8,5
1504689171,8,5
1504690115,7,5
1504691059,9,2
1504692031,7,9
1504693000,6,9
1504693958,3,5
1504694914,11,8
1504695862,6,9
1504696828,14,6
1504697813,11,7
1504698754,4,4
1504699929,13,6
1504700911,5,10
1504701853,7,5
1504702843,16,6
1504703790,5,3
1504704749,2,5
1504705695,4,8
1504706674,4,5
1504707617,11,10
1504708948,12,4
1504710058,9,8
1504710996,8,6
1504711952,6,9
1504712904,7,6
1504713876,5,2
1504715111,10,3
1504716357,7,16
1504717460,7,21
1504718438,2,6
1504719395,4,12
1504720344,4,5
1504721413,5,12
1504722496,7,4
1504723456,9,9
1504724445,7,9
1504725371,5,7
1504726357,3,6
1504727297,10,9
1504728259,6,9
1504729227,9,4
1504730182,8,5
1504731144,8,6
1504732115,7,4
1504733050,8,11
1504734022,5,8
1504734980,14,8
1504735948,15,6
1504736916,5,5
1504737852,14,2
1504738824,14,15
1504739797,8,9
1504740737,7,8
1504741703,16,6
1504742673,7,4
1504743614,8,7
1504744603,7,10
1504745530,5,7
1504746513,4,9
1504747457,2,9
1504748411,5,9
1504749392,10,10
1504750333,10,10
1504751300,8,7
1504752262,16,7
1504753230,10,7
1504754169,5,1
1504755153,6,7
1504756099,5,14
1504757061,6,9
1504758032,10,9
1504758981,11,3
1504759931,17,10
1504760907,17,7
1504761852,8,6
1504762833,13,3
1504763784,3,3
1504764742,7,7
1504765710,16,8
1504766668,8,4
1504767616,7,8
1504768588,9,5
1504769544,8,8
1504770494,5,9
1504771471,12,7
1504772415,6,6
1504773384,11,6
1504774346,19,2
1504775312,12,8
1504776348,10,13
1504777458,10,9
1504778429,6,11
1504779369,6,11
1504780351,7,4
1504781291,10,9
1504782260,8,13
1504783225,7,14
1504784182,8,15
1504785144,7,6
1504786113,6,19
1504787058,8,10
1504788010,9,9
1504788995,7,10
1504789941,9,7
1504790922,11,13
1504791867,9,15
1504792820,12,10
1504793792,7,10
1504794732,7,5
1504795712,3,9
1504796659,3,7
1504798614,15,21
1504799538,4,3
1504800505,10,4
1504801451,7,8
1504802441,8,7
1504803476,9,5
1504804589,11,9
1504805530,8,5
1504806513,7,12
1504807465,9,9
1504808433,1,9
1504809372,17,13
1504810353,14,12
1504811291,5,6
1504812255,8,11
1504813237,7,11
1504814172,6,10
1504815140,8,5
1504816098,10,9
1504817054,13,11
1504818033,9,6
1504818974,1,6
1504819976,4,6
1504820889,9,9
1504821869,8,2
1504822833,8,5
1504823788,7,4
1504824739,1,5
1504825690,5,3
1504826651,3,5
1504827632,5,13
1504828574,6,5
1504829556,4,3
1504830510,7,11
1504831460,10,14
1504832426,5,14
1504833404,3,10
1504834332,5,9
1504835305,1,20
1504836269,5,5
1504837216,13,11
1504838184,3,12
1504839140,4,6
1504840101,6,9
1504841053,5,15
1504842009,4,13
1504842991,1,1
1504843938,2,14
1504844911,4,12
1504845863,4,14
1504846836,5,7
1504847792,12,8
1504848768,1,5
1504849706,11,11
1504850671,10,12
1504851613,8,8
1504852587,13,3
1504853540,5,5
1504854495,9,11
1504855463,7,7
1504856424,8,13
1504857383,2,8
1504858343,8,12
1504859306,5,6
1504860264,8,15
1504861214,18,5
1504862185,17,6
1504863158,11,7
1504864110,10,8
1504865058,1,6
1504866027,8,4
1504866972,18,5
1504867944,17,8
1504868913,5,6
1504869853,16,7
1504870813,10,8
1504871786,3,5
1504872746,9,12
1504873690,2,5
1504874661,4,5
1504875638,8,8
1504876571,5,5
1504877556,7,8
1504878491,2,5
1504879461,12,3
1504880426,7,6
1504881390,8,5
1504882608,7,4
1504883564,10,8
1504884500,1,10
1504885468,2,8
1504886437,4,11
1504887393,9,6
1504888346,12,5
1504889292,11,13
1504890273,5,4
1504891250,9,9
1504892174,6,6
1504893146,10,9
1504894235,5,3
1504895294,10,4
1504896251,7,15
1504897232,9,8
1504898181,6,5
1504899139,6,7
1504900103,2,7
1504901064,3,4
1504902019,4,4
1504902981,7,13
1504903926,4,5
1504904907,7,5
1504905851,6,5
1504906811,9,3
1504907798,3,5
1504909311,13,8
1504910410,1,3
1504911664,9,7
1504912579,5,2
1504913536,5,4
1504914512,8,3
1504915467,4,6
1504916417,14,10
1504917391,0,2
1504918331,6,3
1504919305,8,7
1504920265,5,6
1504921217,8,3
1504922180,2,11
1504923137,3,5
1504924114,11,15
1504925057,12,7
1504926019,9,7
1504926994,4,2
1504927932,6,3
1504928907,7,5
1504929872,5,2
1504930821,3,8
1504931783,8,7
1504932744,4,8
1504933708,10,3
1504934657,6,9
1504935609,10,2
1504936597,8,13
1504937550,4,14
1504938503,8,4
1504939465,13,10
1504940424,14,12
1504941381,5,6
1504942346,5,5
1504943301,8,7
1504944266,6,5
1504945214,12,13
1504946186,13,8
1504947135,7,14
1504948357,14,15
1504949294,14,6
1504950263,6,7
1504951220,18,11
1504952186,5,18
1504953151,5,9
1504954094,17,15
1504955058,9,4
1504956038,7,3
1504956971,8,14
1504957944,6,2
1504958891,8,17
1504959869,7,6
1504961580,6,17
1504962501,5,8
1504963459,8,4
1504964410,6,15
1504965392,6,3
1504966333,10,2
1504967303,5,4
1504968267,6,3
1504969220,4,6
1504970183,6,7
1504971144,7,1
1504972102,5,2
1504973061,5,6
1504974028,3,13
1504974987,6,7
1504975942,9,7
1504976894,4,8
1504977863,8,3
1504978839,3,6
1504979772,4,5
1504980751,6,10
1504981706,5,3
1504982653,3,4
1504983617,4,2
1504984587,5,3
1504985544,9,3
1504986498,13,4
1504987468,11,9
1504988412,7,4
1504989369,13,10
1504990349,7,5
1504991292,3,6
1504992255,9,7
1504993224,11,6
1504994180,11,2
1504995142,17,5
1504996089,6,5
1504997075,10,4
1504998023,11,11
1504998990,12,3
1505000932,17,14
1505001860,7,16
1505002835,13,20
1505003781,6,5
1505004757,5,16
1505005701,5,15
1505006657,4,5
1505007610,9,14
1505008599,2,8
1505009533,7,3
1505010503,0,20
1505011451,8,7
1505012444,1,3
1505013383,10,6
1505014347,5,7
1505015294,3,4
1505016284,2,4
1505017224,2,7
1505018177,10,9
1505019147,9,11
1505020121,21,8
1505021055,6,5
