DateTime,AddedIPs,RemovedIPs
1504533393,12,12
1504534350,32,37
1504535311,46,12
1504536255,54,23
1504537243,40,13
1504538174,40,26
1504539144,58,21
1504540106,75,21
1504541077,98,19
1504542048,42,12
1504543005,18,13
1504543934,34,0
1504544921,29,17
1504545869,45,30
1504546848,27,41
1504547773,40,0
1504548770,10,28
1504549695,30,0
1504550684,55,36
1504551615,33,0
1504552605,18,45
1504553540,31,0
1504554761,40,30
1504555709,31,33
1504556657,28,14
1504557634,30,12
1504558574,58,14
1504559550,30,24
1504560515,28,7
1504561457,35,23
1504562709,40,26
1504563617,32,12
1504564589,13,21
1504565534,30,36
1504566519,36,13
1504567453,29,0
1504568418,28,34
1504569397,32,33
1504570350,26,11
1504571291,45,28
1504572268,36,21
1504573230,29,20
1504574182,33,16
1504575155,18,12
1504576095,26,47
1504577062,21,14
1504578044,17,27
1504578973,15,26
1504580003,21,24
1504581152,32,14
1504582090,30,32
1504583071,29,42
1504584215,30,17
1504585217,22,29
1504586177,35,24
1504587144,38,21
1504588110,29,31
1504589055,31,22
1504590025,19,43
1504590970,19,11
1504591963,25,45
1504592891,31,6
1504593864,29,48
1504594827,22,72
1504595780,13,33
1504596745,35,14
1504597695,25,73
1504598686,31,19
1504599621,24,0
1504600584,17,139
1504601539,36,0
1504602505,36,64
1504603453,32,0
1504604422,23,27
1504605330,15,45
1504606242,25,47
1504607303,26,35
1504608256,25,68
1504609252,25,41
1504610183,19,42
1504611147,35,21
1504612104,32,44
1504613086,31,13
1504614030,24,19
1504615004,15,16
1504615932,20,49
1504616910,33,27
1504617852,40,38
1504618843,19,21
1504619771,19,23
1504620764,32,24
1504621693,22,41
1504622684,39,68
1504623620,35,0
1504624609,20,39
1504625538,18,11
1504626509,37,27
1504627463,27,12
1504628453,20,40
1504629405,13,12
1504631344,45,64
1504632271,39,25
1504633230,29,38
1504634185,22,42
1504635174,27,17
1504636110,26,37
1504637073,31,25
1504638030,14,15
1504639010,11,29
1504639958,10,20
1504640913,39,31
1504641862,57,22
1504642841,32,21
1504643802,37,8
1504644737,70,37
1504645705,55,53
1504646672,46,18
1504647612,34,20
1504648592,24,10
1504649538,20,57
1504650654,45,1
1504651702,40,34
1504652659,44,6
1504653626,23,23
1504654588,26,46
1504655547,41,29
1504656512,45,22
1504657455,62,23
1504658419,29,10
1504659393,37,31
1504660340,34,30
1504661303,47,5
1504662268,44,30
1504663252,44,31
1504664193,22,31
1504665137,34,26
1504666119,39,30
1504667083,46,19
1504668024,27,0
1504668988,20,66
1504669944,36,21
1504670906,43,0
1504671856,53,46
1504672816,19,17
1504673796,30,81
1504674768,23,0
1504675711,28,32
1504676668,53,34
1504677635,42,21
1504678602,45,41
1504679602,20,13
1504680507,28,39
1504681475,47,31
1504682447,33,63
1504683394,8,15
1504684337,32,32
1504685322,30,9
1504686272,50,57
1504687229,20,100
1504688172,46,34
1504689172,34,66
1504690120,42,20
1504691061,25,28
1504692033,46,15
1504693002,12,33
1504693960,33,20
1504694916,40,40
1504695864,37,8
1504696830,19,28
1504697815,24,55
1504698756,35,26
1504699931,47,25
1504700914,44,16
