DateTime,AddedIPs,RemovedIPs
1504533393,278,278
1504534350,931,931
1504535311,1004,1004
1504536255,1111,1111
1504537243,1071,1071
1504538174,779,779
1504539144,1140,1140
1504540106,1879,1879
1504541077,1557,1557
1504542048,740,740
1504543005,450,450
1504543934,813,813
1504544921,927,927
1504545869,789,789
1504546848,657,657
1504547773,762,762
1504548770,434,434
1504549695,859,859
1504550684,934,934
1504551615,732,732
1504552605,502,502
1504553540,632,632
1504554761,997,997
1504555709,916,916
1504556657,839,839
1504557634,791,791
1504558574,956,956
1504559550,736,736
1504560515,852,852
1504561457,850,850
1504562709,1213,1213
1504563617,782,782
1504564589,520,520
1504565534,871,871
1504566519,881,881
1504567453,783,783
1504568418,682,682
1504569397,915,915
1504570350,480,480
1504571291,964,964
1504572268,828,828
1504573230,764,764
1504574182,659,659
1504575155,635,635
1504576095,945,945
1504577062,820,820
1504578044,821,821
1504578973,504,504
1504580003,797,797
1504581152,903,903
1504582090,995,995
1504583071,821,821
1504584215,843,843
1504585217,592,592
1504586177,876,876
1504587144,857,857
1504588110,846,846
1504589055,848,848
1504590025,531,531
1504590970,734,734
1504591963,668,668
1504592891,943,943
1504593864,912,912
1504594827,786,786
1504595780,340,340
1504596745,955,955
1504597695,817,817
1504598686,886,886
1504599621,733,733
1504600584,382,382
1504601539,874,874
1504602505,707,707
1504603453,886,886
1504604422,711,711
1504605330,485,485
1504606242,801,801
1504607303,950,950
1504608256,752,752
1504609252,670,670
1504610183,608,608
1504611147,711,711
1504612104,862,862
1504613086,955,955
1504614030,670,670
1504615004,551,551
1504615932,610,610
1504616910,860,860
1504617852,814,814
1504618843,645,645
1504619771,568,568
1504620764,824,824
1504621693,687,687
1504622684,884,884
1504623620,726,726
1504624609,578,578
1504625538,605,605
1504626509,811,811
1504627463,654,654
1504628453,740,740
1504629405,549,549
1504631344,1607,1607
1504632271,1017,1017
1504633230,747,747
1504634185,820,820
1504635174,540,540
1504636110,806,806
1504637073,795,795
1504638030,246,246
1504639010,180,180
1504639958,329,329
1504640913,858,858
1504641862,1082,1082
1504642841,884,884
1504643802,721,721
1504644737,960,960
1504645705,982,982
1504646672,811,811
1504647612,724,724
1504648592,771,771
1504649538,513,513
1504650654,960,960
1504651702,879,879
1504652659,917,917
1504653626,699,699
1504654588,587,587
1504655547,740,740
1504656512,790,790
1504657455,880,880
1504658419,647,647
1504659393,556,556
1504660340,787,787
1504661303,898,898
1504662268,916,916
1504663252,788,788
1504664193,621,621
1504665137,635,635
1504666119,802,802
1504667083,913,913
1504668024,498,498
1504668988,494,494
1504669944,857,857
1504670906,1085,1085
1504671856,1062,1062
1504672816,589,589
1504673796,649,649
1504674768,699,699
1504675711,850,850
1504676668,912,912
1504677635,631,631
1504678602,624,624
1504679602,602,602
1504680507,895,895
1504681475,971,971
1504682447,766,766
1504683394,312,312
1504684337,899,899
1504685322,902,902
1504686272,976,976
1504687229,308,308
1504688172,810,810
1504689172,862,862
1504690120,889,889
1504691061,712,712
1504692033,769,769
1504693002,397,397
1504693960,813,813
1504694916,825,825
1504695864,760,760
1504696830,432,432
1504697815,635,635
1504698756,894,894
1504699931,963,963
1504700914,917,917
1504701855,931,931
1504702846,708,708
1504703792,483,483
1504704751,661,661
1504705696,1009,1009
1504706677,933,933
1504707619,742,742
1504708950,1242,1242
1504710069,862,862
1504710998,391,391
1504711954,670,670
