DateTime,Entries,UniqueIPs
1503080241,19005,19005
1503083840,18988,18988
1503087435,18973,18973
1503091041,18970,18970
1503094640,18925,18925
1503098236,18884,18884
1503101839,18870,18870
1503105432,18832,18832
1503109031,18826,18826
1503112627,18810,18810
1503116234,18790,18790
1503119828,18755,18755
1503123434,18725,18725
1503127033,18684,18684
1503130630,18633,18633
1503134221,18567,18567
1503137819,18492,18492
1503141424,18435,18435
1503145018,18383,18383
1503148617,18328,18328
1503152204,18239,18239
1503155806,18146,18146
1503159400,18051,18051
1503162998,17987,17987
1503166590,17908,17908
1503170189,17835,17835
1503173785,17757,17757
1503177379,17728,17728
1503180981,17727,17727
1503184585,17732,17732
1503188191,17711,17711
1503191783,17713,17713
1503195386,17772,17772
1503198990,17844,17844
1503202592,17920,17920
1503206184,17936,17936
1503209784,17966,17966
1503213396,18020,18020
1503216997,18054,18054
1503220599,18089,18089
1503224201,18086,18086
1503227793,18104,18104
1503231398,18128,18128
1503235003,18125,18125
1503238598,18133,18133
1503242192,18154,18154
1503245805,18212,18212
1503249407,18222,18222
1503253009,18222,18222
1503256608,18227,18227
1503260209,18219,18219
1503263810,18227,18227
1503267407,18223,18223
1503271010,18203,18203
1503274609,18203,18203
1503278209,18182,18182
1503281801,18311,18311
1503285407,18316,18316
1503289002,18317,18317
1503292612,18317,18317
1503296204,18321,18321
1503299801,18323,18323
1503303435,18294,18294
1503307006,18290,18290
1503310607,18300,18300
1503314207,18302,18302
1503317806,18308,18308
1503321409,18315,18315
1503325010,18297,18297
1503328611,18298,18298
1503332216,18281,18281
1503335809,18268,18268
1503339407,18272,18272
1503343003,18292,18292
1503346612,18273,18273
1503350202,18256,18256
1503353810,18253,18253
1503357406,18253,18253
1503361005,18245,18245
1503364609,18220,18220
1503368208,18213,18213
1503371800,18220,18220
1503375397,18207,18207
1503379002,18176,18176
1503382608,18168,18168
1503386203,18161,18161
1503389797,18164,18164
1503393402,18162,18162
1503396996,18176,18176
1503400596,18166,18166
1503404209,18160,18160
1503407812,18183,18183
1503414999,18195,18195
1503418605,18190,18190
1503422213,18180,18180
1503425812,18168,18168
1503429400,18145,18145
1503432997,18141,18141
1503436597,18157,18157
1503440206,18154,18154
1503443807,18154,18154
1503447398,18145,18145
1503450998,18165,18165
1503454607,18153,18153
1503458205,18128,18128
1503461794,18118,18118
1503465401,18118,18118
1503472603,18129,18129
1503476200,18161,18161
1503479797,18186,18186
1503483402,18186,18186
1503487009,18187,18187
1503490603,18145,18145
1503494202,18109,18109
1503497799,18109,18109
1503501397,18091,18091
1503504997,18074,18074
1503508593,18046,18046
1503512191,18043,18043
1503515793,18037,18037
1503519393,18025,18025
1503522990,18008,18008
1503526592,18003,18003
1503530197,18008,18008
1503533794,18005,18005
1503537391,18012,18012
1503540993,18002,18002
1503544593,17989,17989
1503548185,17983,17983
1503551791,17980,17980
1503555388,17957,17957
1503558987,17942,17942
1503562590,17956,17956
1503566193,17972,17972
1503569794,17974,17974
1503573391,17970,17970
1503576983,17959,17959
1503580596,17958,17958
1503584194,17954,17954
1503587791,17948,17948
1503591390,17934,17934
1503594995,17938,17938
1503598583,17959,17959
1503602186,17952,17952
