DateTime,AddedIPs,RemovedIPs
1503083948,87,107
1503087524,97,114
1503091128,86,82
1503094720,76,115
1503098317,74,104
1503101913,82,94
1503105511,74,110
1503109118,98,100
1503112716,86,111
1503116300,87,110
1503119907,70,112
1503123501,68,99
1503127089,67,105
1503130688,63,111
1503134291,73,132
1503137881,65,137
1503141496,70,126
1503145085,81,133
1503148682,72,127
1503152269,69,161
1503155862,63,161
1503159458,58,159
1503163054,72,140
1503166653,70,152
1503170250,75,158
1503173842,75,150
1503177443,90,115
1503181037,87,98
1503184646,86,78
1503188247,79,94
1503191835,87,76
1503195433,145,88
1503199039,146,76
1503202638,144,75
1503206246,94,78
1503209838,110,81
1503213444,128,70
1503217054,111,74
1503220651,106,72
1503224254,96,95
1503227862,96,75
1503231462,91,72
1503235080,78,79
1503238675,89,83
1503242272,96,79
1503245869,128,82
1503249483,91,82
1503253088,86,82
1503256687,74,74
1503260300,90,94
1503263904,76,73
1503267489,62,72
1503271093,59,86
1503274687,71,69
1503278297,78,93
1503281900,210,80
1503285496,77,75
1503289063,58,63
1503292681,82,88
1503296283,80,77
1503299882,69,63
1503303507,77,109
1503307088,71,78
1503310694,73,64
1503314286,76,71
1503317878,81,79
1503321478,79,71
1503325082,71,82
1503328680,88,84
1503332287,66,83
1503335883,70,75
1503339488,73,76
1503343079,96,71
1503346673,54,72
1503350281,67,81
1503353877,76,80
1503357478,79,76
1503361075,60,59
1503364675,56,85
1503368277,69,71
1503371887,77,73
1503375481,60,72
1503379093,70,93
1503382689,71,74
1503386285,78,83
1503389874,78,70
1503393488,86,91
1503397079,80,64
1503400672,63,64
1503404283,65,80
1503407890,99,78
1503411483,90,86
1503415086,82,75
1503418679,70,76
1503422291,87,87
1503425885,60,76
1503429493,70,95
1503433079,74,82
1503436676,71,70
1503440274,73,72
1503443877,57,65
1503447477,70,80
1503451072,83,64
1503454670,65,73
1503458266,58,75
1503461866,61,64
1503465470,57,55
1503472662,160,151
1503476265,98,67
1503479867,94,67
1503483463,85,91
1503487066,100,100
1503490664,80,121
1503494263,67,108
1503497864,95,100
1503501464,87,104
1503505061,85,102
1503508659,71,93
1503512258,76,76
1503515864,68,76
1503519459,75,79
1503523061,85,100
1503526660,86,87
1503530261,84,73
1503533858,81,91
1503537458,74,74
1503541059,75,75
1503544651,66,77
1503548259,65,67
1503551855,79,80
1503555457,69,88
1503559052,69,86
1503562657,72,65
1503566250,80,70
1503569855,75,75
1503573454,72,72
1503577059,80,96
1503580659,84,92
1503584257,60,62
1503587866,86,93
1503591456,82,93
1503595067,86,80
1503598672,75,59
1503602267,69,79
1503605863,89,74
1503609457,77,72
1503613062,76,77
1503616660,81,95
1503620257,65,92
1503623852,80,94
1503627453,78,89
1503631042,66,94
1503634650,86,67
1503638234,81,78
1503641831,86,84
1503645451,94,71
1503649040,68,151
1503652633,51,102
1503656238,70,86
1503659848,94,94
1503663448,72,95
1503667048,64,84
1503670643,69,81
1503674244,71,82
1503677840,68,98
1503681445,74,85
1503685045,95,84
1503688648,96,89
1503692248,112,89
1503695846,81,82
1503699442,94,74
1503703038,84,82
1503706645,130,78
1503710238,92,84
1503713834,90,82
1503717438,82,85
1503721036,114,85
1503724653,96,57
1503728241,79,68
1503731843,86,76
1503735442,87,62
1503739043,75,62
1503742646,106,70
1503746241,93,76
1503749848,85,76
1503753441,88,85
1503757041,84,66
1503760638,77,54
1503764251,84,51
1503767856,83,63
1503771459,76,74
1503775058,98,81
1503778661,81,73
1503782261,70,82
1503785860,65,82
1503789467,77,77
1503793059,84,73
1503796708,72,100
1503800292,70,125
1503938510,70,127
1503940610,2896,3493
1503944218,82,66
1503947816,94,102
1503951421,67,62
1503955038,72,81
1503958617,87,80
1503962223,82,78
1503965820,82,73
1503969432,75,62
1503973019,69,75
1503976608,84,77
1503980207,68,63
1503983822,71,66
1503987426,77,83
1503991014,93,74
1503994611,71,77
1503998219,74,81
1504001816,82,81
1504005408,68,70
1504009003,79,64
1504012604,82,92
1504016215,81,90
1504019820,81,73
1504023393,53,66
1504027004,83,92
1504030613,80,65
1504034220,73,82
1504037828,78,86
1504041431,83,58
1504045034,51,70
1504048649,76,63
1504052240,75,74
1504055822,75,81
1504059447,80,68
1504063054,81,55
1504066663,89,68
1504070266,81,48
1504073857,56,73
1504077459,78,81
1504081060,89,102
1504084657,94,97
1504088257,85,78
1504091854,97,95
1504095451,81,78
1504099040,98,70
1504102648,88,92
1504106247,173,77
1504109853,153,91
1504113452,110,72
1504117049,91,68
1504120646,99,63
1504124262,102,59
1504127852,93,84
1504131453,98,82
1504135054,94,87
1504138655,99,74
1504142250,92,72
1504145851,70,75
1504149444,86,61
1504153046,74,60
1504156628,98,71
1504160243,84,76
1504164129,62,66
1504171048,132,156
1504174647,85,82
1504178252,86,70
1504181843,81,85
1504185453,90,77
1504189040,96,68
1504192646,81,92
1504196239,72,71
1504199842,77,81
1504203444,61,78
1504207046,88,58
1504210645,70,82
1504214247,81,67
1504217847,73,69
1504221444,90,79
1504225044,65,59
1504228641,53,76
1504232243,64,80
1504235847,75,82
1504239453,93,84
1504243045,78,80
1504246651,78,85
1504250245,75,76
1504253842,79,90
1504257446,77,59
1504261040,81,73
1504264641,86,89
1504268247,81,59
1504271841,88,62
1504275440,84,68
1504279043,77,63
1504282662,79,73
1504286255,79,65
1504289850,84,78
1504293456,83,93
1504297051,77,110
1504300651,86,80
1504304251,88,77
1504307847,84,104
1504311443,71,126
1504315042,71,82
1504318636,66,83
1504322244,64,90
1504325850,77,118
1504329447,67,78
1504333043,83,77
1504336643,72,88
1504340247,73,84
1504343889,78,83
1504347458,94,104
1504351039,82,92
1504354639,89,79
1504358243,75,94
1504361842,81,80
1504365450,79,70
1504369056,73,76
1504372665,96,85
1504376269,71,81
1504379860,83,87
1504383455,64,79
1504387053,85,75
1504390654,75,71
1504394253,77,74
1504397858,76,85
1504401473,98,77
1504405070,75,72
1504408649,84,65
1504412250,77,79
1504415849,63,82
1504419438,63,82
1504423041,69,76
1504426647,83,69
1504430248,93,74
1504433850,83,90
1504437434,86,98
1504441058,82,75
1504444662,94,85
1504448249,73,74
1504451858,78,78
1504455446,79,74
1504459052,68,77
1504462649,72,80
1504466248,62,75
1504469845,77,75
1504473441,84,114
1504477040,65,81
1504480640,102,79
1504484232,85,74
1504487826,61,70
1504491427,71,87
1504495031,80,61
1504498643,76,75
1504502243,67,66
1504505842,69,79
1504509442,70,83
1504513043,64,82
1504516647,65,76
1504520247,59,74
1504523839,71,80
1504527432,79,70
1504531021,67,80
1504534613,74,81
1504538215,72,84
1504541818,79,84
1504545423,98,106
1504549028,68,89
1504552623,71,98
1504556224,80,63
1504559863,82,63
1504563422,61,87
1504567023,56,78
1504570623,69,87
1504574218,64,91
1504577815,81,78
1504581414,65,82
1504585013,79,79
1504588612,77,90
1504592216,64,76
1504595815,62,86
1504599421,75,78
1504603018,88,82
1504606616,67,80
1504610212,73,71
1504613816,72,89
1504617418,80,89
1504621018,123,76
1504624625,116,82
1504628219,104,67
1504631827,109,82
1504635428,115,78
1504639029,88,62
1504642636,87,71
1504646238,82,71
1504649837,93,52
1504653441,120,69
1504657041,114,65
1504660638,106,79
1504664243,103,74
1504667851,84,69
1504671445,80,85
1504675046,94,84
1504678651,77,62
1504682264,98,71
1504685854,77,81
1504689463,99,84
1504693065,90,85
1504696669,73,78
1504700261,76,82
1504703861,92,79
1504707447,98,73
1504711047,72,110
1504714646,73,98
1504718244,79,76
1504721849,94,84
1504725448,74,87
1504729042,84,100
1504732642,75,83
1504736249,79,87
1504739850,114,105
1504743451,93,108
1504747049,82,81
1504750655,88,79
1504754258,78,80
1504757853,88,68
1504761488,81,84
1504765063,55,82
1504768658,76,75
1504772248,76,69
1504775848,71,69
1504779461,81,88
1504783054,66,86
1504786660,85,90
1504790256,71,102
1504793858,81,86
1504797461,72,88
1504801036,63,79
1504804662,63,79
1504808257,82,73
1504811865,81,84
1504815464,76,78
1504819062,78,76
1504822667,76,85
1504826298,69,84
1504829861,69,68
1504833450,65,63
1504837053,67,73
1504840648,77,77
1504844250,77,86
1504847850,80,78
1504851444,74,78
1504855041,72,77
1504858647,78,75
1504862244,66,70
1504865849,85,79
1504869445,65,89
1504873050,53,83
1504876648,89,77
1504880253,83,89
1504883855,76,83
1504887440,78,72
1504891036,81,71
1504894647,74,82
1504898238,49,87
1504901834,66,75
1504905441,60,88
1504909021,63,72
1504912622,69,74
1504916217,57,91
1504919815,66,68
1504923419,69,70
1504927017,66,58
1504930613,48,83
1504934217,51,70
1504937814,35,77
1504941412,51,70
1504945025,52,80
1504948612,43,78
1504952230,37,93
1504955814,52,73
1504959446,44,84
1504963040,51,73
1504966605,39,85
1504970206,39,74
1504973817,31,65
1504977411,25,84
1504981010,25,72
1504984606,33,87
1504988213,66,75
1504991788,66,79
1504995413,48,74
1504998976,34,88
1505002653,33,84
1505006214,25,78
1505009792,68,74
1505013383,30,77
1505016974,28,63
1505020568,24,70
