DateTime,AddedIPs,RemovedIPs
1501426808,135,143
1501430883,123,117
1501439044,120,124
1501446722,109,111
1501454404,63,70
1501462322,11,885
1501470007,869,9
1501473843,655,627
1501481523,355,348
1501489202,300,312
1501496884,219,217
1501504562,234,232
1501512243,158,153
1501519922,137,132
1501527604,97,105
1501531443,89,92
1501539124,58,61
1501546802,299,894
1501554483,803,223
1501562162,678,672
1501570083,369,362
1501577764,298,283
1501585442,181,185
1501589523,190,186
1501597203,134,138
1501604883,122,132
1501612802,118,124
1501620483,82,82
1501628165,37,37
1501632243,613,887
1501639923,681,442
1501647603,737,675
1501655523,417,440
1501663443,350,346
1501671122,229,231
1501678815,209,210
1501682643,144,146
1501690323,150,155
1501698002,101,104
1501705683,88,89
1501713362,79,73
1501721043,572,887
1501728723,656,398
1501736408,790,726
1501740243,355,365
1501747923,265,264
1501755602,189,177
1501763524,183,185
1501771204,147,136
1501778883,132,134
1501786563,132,126
1501794242,76,79
1501798083,46,53
1501805763,558,900
1501813443,686,404
1501821124,729,672
1501828804,430,440
1501836722,322,319
1501844405,192,200
1501848242,215,213
1501855923,115,115
1501863602,162,162
1501871282,71,70
1501878962,111,107
1501886884,48,50
1501894563,544,887
1501902243,697,391
1501906083,714,666
1501913763,414,407
1501921443,314,311
1501929123,234,237
1501936804,180,186
1501944482,135,133
1501952164,83,85
1501956244,120,120
1501963923,78,75
1501971843,69,74
1501980004,539,897
1501987684,645,322
1501995364,753,712
1502003043,412,431
1502006884,312,315
1502014563,228,230
1502022242,146,136
1502030404,123,137
1502038084,126,130
1502045763,93,90
1502053442,97,95
1502057284,58,58
1502064962,875,876
1502072643,609,647
1502080322,648,597
1502088003,373,380
1502095683,316,310
1502103363,235,244
1502111285,187,176
1502115124,120,120
1502122803,122,125
1502130483,100,97
1502138163,106,104
1502145846,66,67
1502153522,889,890
1502161210,718,736
1502165044,693,677
1502172725,378,362
1502180402,305,309
1502188324,240,247
1502196004,162,162
1502203922,125,124
1502211620,167,161
1502215442,108,111
1502223632,134,140
1502231284,48,48
1502238962,878,890
1502246644,656,684
1502254323,709,655
1502262013,387,385
1502266083,314,320
1502273762,213,215
1502281443,162,182
1502289364,110,110
1502297044,174,167
1502304722,116,125
1502312406,126,125
1502316243,69,70
1502324163,889,876
1502331843,632,671
1502339524,722,674
1502347203,379,383
1502354883,320,330
1502362564,209,218
1502370484,179,184
1502374563,143,142
1502382242,156,146
1502390162,131,125
1502398083,154,157
1502405763,80,84
1502409613,830,880
1502417282,651,589
1502425202,721,727
1502433123,446,448
1502441043,282,280
1502448723,226,225
1502456414,197,200
1502460244,109,115
1502468164,132,127
1502475843,112,106
1502483522,67,64
1502491205,79,77
1502498882,811,894
1502506564,651,658
1502514243,731,647
1502518082,425,433
1502525762,343,344
1502533443,357,364
1502541125,148,168
1502548803,128,135
1502556722,137,128
1502564409,67,62
1502568243,59,66
1502575923,61,62
1502583603,735,851
1502591283,644,585
1502598963,746,667
1502606643,393,388
1502614323,321,344
1502622017,196,186
1502626082,186,182
1502633762,115,116
1502641683,148,134
1502649603,101,103
1502657523,116,103
1502665213,87,91
1502669043,662,889
1502676722,643,513
1502684403,706,628
1502692083,480,469
1502699762,371,373
1502707683,253,254
1502715364,207,214
1502723282,125,123
1502727123,170,159
1502734802,132,132
1502742483,115,105
1502750402,92,94
1502758083,718,892
1502766009,689,607
1502770084,721,651
1502777763,370,373
1502785683,318,302
1502793363,217,217
1502801042,167,166
1502808723,85,86
1502816404,141,139
1502820242,86,85
1502828163,93,94
1502836323,61,55
1502844003,550,891
1502851683,723,467
1502859364,673,611
1502867043,341,339
1502870884,323,328
1502878563,241,225
1502886483,209,212
1502894162,114,125
1502902083,148,140
1502909763,91,91
1502917442,65,64
1502921283,59,57
1502928964,680,878
1502936643,817,609
1502944324,582,575
1502952003,372,365
1502959682,375,377
1502967363,207,211
1502975042,217,229
1502978882,166,161
1502986563,136,137
1502994483,101,110
1503002403,150,152
1503010084,51,41
1503017763,786,887
1503025443,701,658
1503029284,657,598
1503036964,344,351
1503044643,347,346
1503052323,223,207
1503060003,205,204
1503067684,138,136
1503075363,188,189
1503079443,88,95
1503087364,106,112
1503095524,48,48
1503103203,816,887
1503110883,729,690
1503118564,635,598
1503126243,400,418
1503130083,365,360
1503138003,214,227
1503145683,211,199
1503153363,136,136
1503161042,171,166
1503168723,97,99
1503176405,86,84
1503180242,52,53
1503187922,765,882
1503195843,699,618
1503203522,688,616
1503211443,351,393
1503219122,343,334
1503226806,254,251
1503230643,170,172
1503238322,153,143
1503246002,134,139
1503253683,93,90
1503261362,63,65
1503269043,53,52
1503276722,788,893
1503284644,698,667
1503288484,607,538
1503296163,373,378
1503303845,283,283
1503311523,197,192
1503319204,180,198
1503326883,123,129
1503334564,149,135
1503342243,103,104
1503346088,102,96
1503353763,67,64
1503361444,762,886
1503369122,759,654
1503376803,594,548
1503384483,377,384
1503392164,306,317
1503399843,216,228
1503403682,165,158
1503411362,133,133
1503419043,128,124
1503426722,103,105
1503434643,96,88
1503442323,69,70
1503446414,870,899
1503454082,708,738
1503461763,611,562
1503469444,330,346
1503477123,282,260
1503484804,221,227
1503492483,175,170
1503500168,103,106
1503507843,162,153
1503511683,114,111
1503519363,77,80
1503527043,54,58
1503534722,890,896
1503542404,691,745
1503550083,589,551
1503557763,372,366
1503565444,297,292
1503569282,190,188
1503576962,172,179
1503584643,144,146
1503592322,137,137
1503600004,119,112
1503607683,95,96
1503615845,59,54
1503619684,910,889
1503627363,684,755
1503635043,571,548
1503642722,331,338
1503650403,283,283
1503658082,207,206
1503665763,186,182
1503673443,116,119
1503677286,178,171
1503685203,132,127
1503692884,111,106
1503700563,62,67
1503708243,831,869
1503715922,686,653
1503723605,667,629
1503727444,383,400
1503735123,328,312
1503742803,213,211
1503750483,200,192
1503758404,141,143
1503766082,147,148
1503773764,102,103
1503781442,100,102
1503785283,94,90
1503792963,893,909
1503800642,819,828
1503808323,666,687
1503816004,350,332
1503823683,376,371
1503831364,170,170
1503839043,228,222
1503842883,127,128
1503850564,196,197
1503858242,97,94
1503865924,102,112
1503874083,51,50
1503881763,852,884
1503889444,703,691
1503893282,616,604
1503900963,378,360
1503908643,314,300
1503916323,188,199
1503924004,221,229
1503931682,106,111
1503939363,169,163
1503947043,124,120
1503950888,126,135
1503958562,65,65
1503966244,835,885
1503973925,679,647
1503981604,633,631
1503989282,374,377
1503996963,355,331
1504004645,204,206
