DateTime,Entries,UniqueIPs
1504659393,35861,38462
1504660340,35863,38484
1504661303,35941,38589
1504661480,35978,38626
1504662268,35912,38554
1504663252,35849,38503
1504664193,35828,38480
1504665137,35872,38551
1504666119,35931,38608
1504667083,35914,38589
1504668024,35779,38456
1504668988,35694,38362
1504669944,35663,38347
1504670906,35769,38481
1504671856,35765,38487
1504672280,35816,38543
1504672816,35754,38465
1504673796,35725,38408
1504674768,35693,38383
1504675711,35718,38418
1504675879,35764,38466
1504676668,35796,38501
1504677635,35738,38450
1504678602,35671,38383
1504679602,35563,38259
1504680507,35624,38322
1504681475,35741,38459
1504682447,35679,38396
1504683394,35630,38322
1504684337,35596,38299
1504685322,35576,38291
1504686272,35653,38378
1504686679,35725,38452
1504687229,35594,38304
1504688172,35629,38330
1504689172,35606,38307
1504690120,35623,38319
1504690280,35708,38408
1504691061,35746,38457
1504692033,35696,38401
1504693002,35581,38300
1504693960,35558,38280
1504694916,35672,38415
1504695864,35710,38432
1504696830,35632,38351
1504697815,35651,38359
1504698756,35624,38324
1504699931,35679,38391
1504700666,35680,38392
1504700914,35738,38478
1504701080,35824,38564
1504701855,35937,38677
1504702572,35939,38679
1504702846,35959,38710
1504703792,35928,38673
1504704489,35930,38675
1504704751,35973,38712
1504705696,36192,38942
1504706414,36193,38943
1504706677,36261,39038
1504707619,36296,39088
1504708444,36303,39095
1504708950,36527,39350
1504710069,36472,39292
1504710595,36481,39301
1504710998,36553,39379
1504711954,36513,39333
1504712430,36516,39336
1504712906,36776,39624
1504713878,36722,39559
1504715118,36810,39661
1504715479,36870,39723
1504716360,36814,39658
1504716990,36813,39657
1504717462,37055,39918
1504718440,37047,39898
1504718919,37050,39901
1504719397,37093,39956
1504720347,37129,39994
1504720841,37129,39994
1504721414,37268,40126
1504722499,37364,40220
1504722750,37364,40220
1504723458,37512,40363
1504724447,37594,40451
1504724904,37589,40446
1504725373,37710,40576
1504726359,37711,40558
1504726831,37815,40664
1504727299,38037,40911
1504728261,38075,40947
1504728745,38080,40952
1504729229,38060,40923
1504730184,38172,41033
1504730664,38172,41033
1504731146,38067,40897
1504732117,38147,40966
1504732602,38148,40967
1504733052,38372,41200
1504733479,38414,41242
1504734024,38295,41097
1504734515,38335,41139
1504734981,38575,41403
1504735950,38421,41245
1504736638,38422,41246
1504736917,38656,41499
1504737080,38687,41532
1504737854,38727,41581
1504738583,38726,41580
1504738826,38741,41564
1504739799,38759,41559
1504740501,38761,41561
1504740739,38807,41609
1504741705,38974,41792
1504742415,38974,41792
1504742676,39045,41820
1504743616,39084,41864
1504744333,39084,41863
1504744605,37391,40081
1504745532,37485,40200
1504746261,37481,40196
1504746515,37609,40342
1504747459,37607,40315
1504748180,37653,40364
1504748413,37598,40290
1504749394,37693,40394
1504750098,37696,40397
1504750335,37719,40427
1504751302,37787,40514
1504751479,37838,40568
1504752264,37880,40610
1504753232,37875,40606
1504753948,37870,40600
1504754171,37934,40659
1504755155,37982,40716
1504755854,38019,40759
1504756101,37994,40734
1504757065,37951,40701
1504757769,37958,40708
1504758034,37918,40669
1504758983,37986,40739
1504759699,37990,40743
1504759933,38053,40804
1504760909,38070,40820
1504761620,38075,40826
1504761854,38100,40847
1504762835,38136,40895
1504763526,38135,40894
1504763786,38165,40928
1504764744,38236,41010
1504765712,38266,41051
1504765879,38345,41132
1504766670,38351,41139
1504767377,38356,41143
1504767619,38355,41140
1504768590,38360,41136
1504769294,38367,41143
1504769547,38428,41213
1504770496,38559,41355
1504771241,38561,41356
1504771473,38570,41360
1504772417,38474,41268
1504773130,38482,41276
1504773386,38633,41446
1504774348,38669,41470
1504775314,38661,41455
1504776351,38654,41445
1504776971,38737,41529
1504777461,38763,41580
1504778431,38782,41603
1504779371,38820,41645
1504780353,38847,41678
1504780835,38928,41760
1504781294,38953,41799
1504782262,38970,41816
1504782733,38972,41818
1504783227,39039,41879
1504784184,39121,41944
1504784656,39132,41955
1504785147,39145,41991
1504786115,39128,41981
1504786585,39132,41985
1504787060,39113,41953
1504787480,39185,42026
1504788013,39176,42005
1504788507,39179,42008
1504788997,39171,41987
1504789943,39222,42048
1504790413,39226,42052
1504790924,39217,42033
1504791080,39280,42103
1504791869,39217,42033
1504792349,39217,42033
1504792822,39152,41965
1504793794,39115,41947
1504794260,39116,41948
1504794734,38935,41729
1504795714,39017,41822
1504796183,39017,41822
1504796663,39104,41924
1504798616,39058,41864
1504799540,39057,41862
1504800039,39091,41896
1504800507,39049,41844
1504801453,39210,42026
1504802443,39178,41975
1504803478,39159,41956
1504804353,39166,41964
1504804592,39186,42011
1504805532,39177,41993
1504806256,39209,42031
1504806515,39115,41936
1504807468,39085,41903
1504808083,39087,41905
1504808435,38990,41796
1504809374,39020,41826
1504810086,39022,41828
1504810355,39041,41856
1504811293,39115,41946
1504812022,39113,41944
1504812258,39067,41890
1504812680,39113,41937
1504813240,39029,41849
1504813936,39033,41853
1504814174,38969,41788
1504815143,38915,41715
1504815858,38916,41717
1504816100,38983,41788
1504816280,39034,41840
1504817057,39015,41820
1504818036,39038,41858
1504818976,38900,41688
1504819456,38896,41683
1504819978,38891,41673
1504820891,38950,41735
1504821871,38994,41787
1504822835,38920,41704
1504823790,38854,41623
1504824741,38850,41621
1504825696,38916,41673
1504826654,38943,41699
1504827079,38982,41739
1504827634,38920,41630
1504828576,38848,41537
1504829559,38770,41443
1504830513,38782,41468
1504830679,37380,40005
1504831462,37343,39972
1504832428,37185,39801
1504833406,37032,39619
1504834334,37003,39587
1504835307,36896,39479
1504836272,36903,39483
1504837218,36869,39445
1504838186,36896,39451
1504839142,36866,39420
1504840103,36934,39486
1504841056,36956,39502
1504841480,37099,39649
1504842011,36972,39526
1504842993,36950,39490
1504843940,36879,39405
1504844913,36975,39533
1504845079,37060,39618
1504845865,36911,39455
1504846838,36830,39354
1504847794,36826,39360
1504848770,36909,39438
1504849708,37025,39585
1504850674,37075,39642
1504851615,36977,39540
1504852589,37148,39726
1504853542,37032,39609
1504854497,36963,39538
1504855465,36902,39459
1504855880,36993,39552
1504856426,36762,39299
1504857385,36625,39146
1504858346,36521,39026
1504859308,36409,38906
1504859480,36483,38982
1504860266,36339,38828
1504861215,36559,39071
1504862187,36641,39194
1504863160,36694,39283
1504864111,36952,39582
1504865061,36930,39560
1504866030,36909,39548
1504866974,36942,39572
1504867946,36899,39532
1504868915,36935,39559
1504869855,36960,39574
1504870280,37039,39658
1504870815,36990,39608
1504871789,36971,39599
1504872748,36898,39526
1504873692,36873,39502
1504873880,36921,39560
1504874663,36910,39542
1504875640,36913,39529
1504876572,36904,39520
1504877558,36832,39432
1504878492,36905,39505
1504879464,36914,39509
1504880428,36979,39570
1504881392,37046,39639
1504882610,37083,39662
1504883566,37068,39609
1504884502,37204,39784
1504884979,37229,39812
1504885470,37240,39821
1504886439,37248,39820
1504887395,37355,39943
1504888348,37517,40149
1504889294,37559,40180
1504890276,37529,40162
1504891252,37501,40127
1504892176,37487,40092
1504893148,37433,40024
1504894239,37425,40012
1504895052,37430,40017
1504895296,37388,39949
1504895480,37519,40081
1504896253,37478,40032
1504896984,37479,40033
1504897236,37399,39940
1504898183,37383,39916
1504898897,37390,39923
1504899141,37488,40030
1504900105,37638,40183
1504900835,37644,40190
1504901067,37816,40360
1504902021,37869,40397
1504902752,37871,40399
1504902982,38034,40591
1504903927,38164,40735
1504904669,38167,40738
1504904909,38365,40969
1504905853,38500,41130
1504906579,38542,41173
1504906813,38471,41090
1504907800,38480,41080
1504908261,38410,41009
1504909313,38454,41069
1504909880,38486,41101
1504910412,38511,41141
1504911142,38516,41146
1504911666,38637,41266
1504912582,38488,41111
1504913063,38490,41113
1504913538,38490,41103
1504914514,38577,41193
1504914986,38580,41196
1504915470,38676,41285
1504916419,38671,41277
1504916909,38668,41274
1504917393,37189,39729
1504918333,37146,39680
1504918832,37148,39682
1504919307,37216,39750
1504920267,37247,39783
1504920748,37246,39783
1504921219,37182,39716
1504922182,37254,39798
1504922660,37250,39794
1504923139,37214,39745
1504924116,37325,39850
1504924587,37361,39886
1504925059,37400,39908
1504926021,37355,39838
1504926502,37361,39844
1504926996,37320,39778
1504927934,37372,39851
1504928412,37417,39898
1504928909,37403,39877
1504929874,37395,39858
1504930346,37397,39860
1504930823,37355,39796
1504931785,37452,39887
1504932251,37458,39893
1504932746,37524,39966
1504933710,37577,40016
1504934184,37580,40018
1504934659,37488,39921
1504935080,37559,39992
1504935611,37497,39917
1504936106,37497,39917
1504936599,37399,39828
1504937552,37485,39919
1504938025,37481,39915
1504938505,37430,39861
1504938680,37504,39937
1504939467,37585,40041
1504939942,37595,40052
1504940427,37636,40116
1504941383,37715,40216
1504941855,37713,40215
1504942348,37841,40354
1504943304,38004,40552
1504943779,38003,40551
1504944268,38169,40743
1504945216,38259,40863
1504945700,38260,40864
1504946188,38342,40958
1504947138,38089,40661
1504948359,37999,40543
1504949296,37910,40435
1504949542,37914,40439
1504950266,37822,40353
1504951222,37837,40361
1504951454,37836,40360
1504952188,37863,40385
1504953153,37836,40334
1504953625,37917,40419
1504954096,38044,40566
1504955060,38090,40615
1504955543,38089,40614
1504956040,38120,40663
