DateTime,AddedIPs,RemovedIPs
1504544921,27,15
1504545869,938,1352
1504546848,25,31
1504547773,25,6
1504548770,7,22
1504549695,22,0
1504550684,49,25
1504551615,32,5
1504552605,27,30
1504553540,29,0
1504554761,47,30
1504555709,31,26
1504556657,31,22
1504557634,33,7
1504558574,46,23
1504559550,33,13
1504560257,38,48
1504560515,25,8
1504561457,32,20
1504562709,42,16
1504563617,33,10
1504564589,19,11
1504565534,28,27
1504566519,29,14
1504567453,26,1
1504568418,40,27
1504569397,22,28
1504570350,26,7
1504571291,36,24
1504572268,31,19
1504573230,21,13
1504574182,27,15
1504575155,28,10
1504576095,23,31
1504577062,22,15
1504578044,14,27
1504578973,19,21
1504580003,29,24
1504581152,31,12
1504582090,36,27
1504583071,20,34
1504584215,25,14
1504585217,96,100
1504586177,38,21
1504587144,29,19
1504588110,27,23
1504589055,27,21
1504590025,32,33
1504590970,18,12
1504591963,36,34
1504592891,28,4
1504593864,43,40
1504594827,43,62
1504595780,21,29
1504596745,37,16
1504597695,33,69
1504598686,33,20
1504599621,21,0
1504600584,21,115
1504601539,34,0
1504602505,21,56
1504603453,21,0
1504604422,22,23
1504605330,24,38
1504606242,26,35
1504607303,21,27
1504608256,26,54
1504609252,25,28
1504610183,17,32
1504611147,36,18
1504612104,29,38
1504613086,21,14
1504614030,21,18
1504615004,19,15
1504615932,17,49
1504616910,29,24
1504617852,34,30
1504618843,16,15
1504619771,16,21
1504620764,22,25
1504621693,26,34
1504622684,34,64
1504623620,33,0
1504624609,23,34
1504625538,27,10
1504626009,21,2
1504626509,47,18
1504627463,17,8
1504628453,19,28
1504629405,17,12
1504631344,62,50
1504632271,1005,1662
1504633230,44,38
1504634185,23,42
1504635174,33,11
1504636110,31,35
1504637073,34,20
1504638030,11,14
1504639010,13,22
1504639958,8,14
1504640913,38,26
1504641862,51,18
1504642841,40,17
1504643802,34,7
1504644737,59,30
1504645233,16,13
1504645705,50,34
1504646672,42,14
1504647612,32,15
1504648592,25,8
1504649056,28,30
1504649538,21,44
1504650654,46,3
1504651702,34,24
1504652659,37,4
1504653626,20,15
1504654588,32,30
1504655547,33,21
1504656512,38,14
1504657455,51,21
1504658419,34,5
1504659393,33,22
1504660340,31,25
1504661303,47,5
1504662268,40,27
1504663252,39,26
1504664193,16,24
1504665137,33,15
1504666119,42,28
1504667083,37,15
1504668024,24,0
1504668988,25,47
1504669944,27,10
1504670906,38,2
1504671856,138,104
1504672816,18,11
1504673796,26,54
1504674768,17,0
1504675711,32,25
1504676668,42,32
1504677635,32,18
1504678602,32,30
1504679602,21,9
1504680507,35,27
1504681475,52,27
1504682447,38,47
1504683394,11,9
1504684337,31,30
1504685322,32,6
1504686272,47,45
1504687229,24,62
1504688172,43,27
1504689172,32,49
1504690120,41,18
1504691061,22,14
1504692033,42,12
1504693002,15,24
1504693960,32,16
1504694916,36,35
1504695864,35,6
1504696830,27,35
1504697815,27,48
1504698756,29,25
1504699931,46,28
1504700914,28,10
1504701855,47,19
1504702846,56,14
1504703792,26,21
1504704751,37,5
1504705696,50,29
1504706677,39,24
1504707619,41,32
1504708950,75,9
1504710069,45,60
1504710998,27,24
1504711954,41,0
1504712906,72,36
1504713878,57,18
1504715118,74,17
1504716360,54,22
1504717462,55,13
1504718440,888,1569
1504719397,30,24
1504720347,51,25
1504721414,45,29
1504722499,48,22
1504723458,42,18
1504724447,33,29
1504725373,17,17
1504726359,37,7
1504727299,40,16
1504728261,45,9
1504729229,28,2
1504730184,37,21
1504731146,35,41
1504732117,41,3
1504733052,42,52
1504734024,40,0
1504734498,47,34
1504734981,54,27
1504735950,42,23
1504736917,53,11
1504737854,56,35
1504738826,47,19
1504739799,34,18
1504740739,34,10
1504741705,60,39
1504742676,47,18
1504743616,51,25
1504744605,34,28
1504745532,50,43
1504746515,45,15
1504747459,32,39
1504748413,27,29
1504749394,60,4
1504750335,45,36
1504751302,47,20
1504752264,61,28
1504753232,45,9
1504754171,44,49
1504755155,35,48
1504756101,46,33
1504757065,36,25
1504758034,132,214
1504758983,30,50
1504759933,32,56
1504760909,46,9
1504761854,60,26
1504762835,45,23
