DateTime,AddedIPs,RemovedIPs
1504759699,23,26
1504760105,3,15
1504760703,18,6
1504761304,4,14
1504761620,11,9
1504761905,14,26
1504762808,4,9
1504763105,6,11
1504763526,9,13
1504763704,3,20
1504764305,5,3
1504764903,3,3
1504765505,2,16
1504766104,1,3
1504766705,17,5
1504767377,22,28
1504767606,2,8
1504768337,5,5
1504768804,6,5
1504769294,14,10
1504769403,3,3
1504770004,2,14
1504770604,2,7
1504771241,21,23
1504771506,0,8
1504772104,3,6
1504772704,4,13
1504773130,13,10
1504773304,5,3
1504773904,4,1
1504774504,25,5
1504775103,10,5
1504775405,13,15
1504776005,7,18
1504776604,30,7
1504776971,9,20
1504777204,2,3
1504777804,6,6
1504778405,6,5
1504779003,3,11
1504779604,3,6
1504780203,4,2
1504780835,17,31
1504781403,26,13
1504781705,2,4
1504782304,25,6
1504782733,12,6
1504782977,17,33
1504783505,14,25
1504784105,2,11
1504784656,14,7
1504784704,418,16
1504785304,1,11
1504785905,8,25
1504786585,12,10
1504787103,22,8
1504787704,3,5
1504788507,29,16
1504788904,12,3
1504789503,8,2
1504790104,4,8
1504790413,8,12
1504790704,5,20
1504791303,6,4
1504792349,4,16
1504792504,4,17
1504793104,12,19
1504793704,3,25
1504794260,8,12
1504794304,14,32
1504794904,39,4
1504795505,13,13
1504796183,25,26
1504796706,5,12
1504798601,67,22
1504799104,45,5
1504799703,14,3
1504800503,11,10
1504800903,3,1
1504801205,12,2
1504801803,3,1
1504802428,13,22
1504803150,3,15
1504803603,2,25
1504804353,17,27
1504804504,10,21
1504805104,5,7
1504805702,8,13
1504806256,12,13
1504806488,13,4
1504806604,2,13
1504807205,38,18
1504808083,12,38
1504808404,98,6
1504809004,16,5
1504809603,5,6
1504810086,7,4
1504810205,43,8
1504810805,6,13
1504811403,11,7
1504812022,6,74
1504812604,73,10
1504813220,13,6
1504813936,16,8
1504814404,16,3
1504815004,5,5
1504815604,1,11
1504815858,18,0
1504816206,1,24
1504816803,1,1
1504817404,3,4
1504818030,17,16
1504818605,2,22
1504819204,3,6
1504819803,2,2
1504820404,12,4
1504821004,9,11
1504821604,8,7
1504821866,5,16
1504822203,6,5
1504822804,4,5
1504823404,11,4
1504823775,5,11
1504824005,3,8
1504824604,3,18
1504825205,3,11
1504825688,9,3
1504825806,2,3
1504826404,8,6
1504827003,6,1
1504827620,31,9
1504828105,8,0
1504828204,5,4
1504828803,170497,282636
1504829551,16,14
1504829705,1,5
1504830303,4,14
1504830905,22,9
1504831457,9,13
1504831504,3,7
1504832104,11,12
1504832705,8,9
1504833391,12351,412
1504834111,18,35
1504834504,2,4
1504835302,14,15
1504835704,6,7
1504836304,4,6
1504836904,3,6
1504837213,20,10
1504837503,1,2
1504838104,6,4
1504838705,2,8
1504839127,14,9
1504839303,0,3
1504839904,0,2
1504840504,2,6
1504841051,14,13
1504841106,17,9
1504841704,6,3
1504842304,5,2
1504842728,5,0
1504842979,10,42
1504843503,4,2
1504844104,6,4
1504844908,18,11
1504845304,6,3
1504845905,19,14
1504846504,4,4
1504846833,18,5
1504847105,4,13
1504847704,3,6
1504848305,4,15
1504848731,11,7
1504848906,1,13
1504849504,2,7
1504850168,18,6
1504850659,11,11
1504850704,7,6
1504851304,4,5
1504851903,3,2
1504852583,12,18
1504853106,2,18
1504854005,5,16
1504854492,12,10
1504854604,17,2
1504855203,6,6
1504855803,3,4
1504856421,9,11
1504857002,2,2
1504857368,4,0
1504857905,24,14
1504858339,6,14
1504858504,13,4
1504859104,5,4
1504859704,3,4
1504860252,6,16
1504860304,24,6
1504860903,28,23
1504861503,12,10
1504861806,14,12
1504862403,4,7
1504862706,2,4
1504863304,2,27
1504864106,10,24
1504864504,7,6
1504865104,2,7
1504865702,25,1
1504866015,4,10
1504866603,4,8
1504867204,2,2
1504867941,8,40
1504868104,2,5
1504868705,13,23
1504869304,68,5
1504869851,13,16
1504869904,17,11
1504870503,5,3
1504870814,3,206
1504871403,1,171
1504871773,7,9
1504872281,11,3
1504872603,1,6
1504873205,3,18
1504873687,3,4
1504873803,3,7
1504874405,14,9690
1504875004,9780,3
1504875635,22,23
1504876203,4,4
1504876804,18,6
1504877542,17,19
1504878003,14,6
1504878603,21,3
1504879203,0,15069
1504879459,8,5
1504879803,15049,1
1504880403,14,4
1504881005,8,39
1504882204,7,19
1504882804,102,11
1504883549,19,27
1504884004,14,11
1504884605,3,15
1504885465,14,56
1504885804,1,26
1504886404,6,7
1504886899,2,0
1504887391,16,21
1504887604,2,15
1504888203,3,9
1504888804,1,4
1504889290,17,11
1504889402,17,4
1504890004,3,3
1504890766,5,5
1504891235,10,29
1504891805,30,3
1504892405,7,17
1504893143,6,23
1504893606,11,38
1504893849,1,0
1504894202,1,2
1504895052,14,10
1504895405,103,121
1504896004,45,9
1504896311,3,37
1504896984,9,20
1504897504,5,11
1504898104,437,289
1504898897,29,4
1504899303,10,6
1504899905,12,5
1504900835,18,6
1504901542,8,16
1504901704,10,3
1504902752,19,17
1504902903,2,5
1504903504,3,4
1504904105,5,12
1504904669,16,13
1504904706,3,8
1504905303,1,2
1504905903,0,3
1504906579,12,14
1504907105,9,20
1504907704,3,4
1504909298,30,24
1504909508,5,13
1504910104,101,13
1504911142,110,3
1504911304,9,4
1504911904,5,5
1504912505,5,3
1504913063,12,9
1504913104,4,11
1504913704,2,18
1504914304,13,11
1504914986,14,19
1504915504,18,5
1504916175,13,2
1504916909,16,5
1504917305,6,22
1504917907,1,10
1504918832,12,17
1504919104,4,9
1504919704,3,10
1504920748,13,19
1504920905,0,10
1504921504,0,5
1504922104,3,10
1504922660,8,3
1504922703,1,8
1504923304,4,4
1504923903,99,2
1504924587,13,20
1504925103,4,1
1504925703,4,6
1504926502,23,23
1504926903,2,11
1504927507,2,15
1504928104,0,7
1504928412,13,7
1504928705,10,16
1504929304,3,8
1504930346,9,16
1504930504,3,9
1504930810,8,0
1504931103,7,12
1504931704,3,8
1504932251,15,8
1504932305,15,6
1504932903,12,15
1504933503,2,3
1504934184,15,25
1504934706,96,4
1504935303,4,2
1504936106,12,19
1504936505,2,25
1504937105,282632,94985
1504937527,1,0
1504938025,15,24
1504938305,3,11
1504938904,14,14
1504939942,101,21
1504940104,3,10
1504940707,6,21
1504941306,12,22
1504941855,10,11
1504941903,4,6
1504942504,7,5
1504943104,2,4
1504943779,16,18
1504944905,19,41
1504945451,4,0
1504945700,9,18
1504946104,1,4
1504946706,2,24
1504947305,1,26
1504948206,13,25
1504948805,16,11
1504949542,42,8
1504950004,18,4
1504950306,5,9
1504950903,2,12
1504951454,4,8
1504951502,9,2
1504951805,0,13
1504952404,1,8
1504953004,12,15
1504953625,6,9
1504954204,16,7
1504954804,25,2
1504955543,13,14
1504956007,23,18
1504956606,84,137
1504957463,29,28
1504957804,3,10
1504958404,7,16
1504959004,14,4
1504959372,14,6
1504959604,2,7
1504960348,27,9
1504961561,19,42
1504961705,3,26
1504962304,6,23
1504962904,8,20
1504963455,15,7
1504963504,1,15
1504964104,1,15
1504964706,2,23
1504965380,9,44
1504965904,4,18
1504966504,15,7
1504967300,27,20
1504967704,22,6
1504968304,2,14
1504968907,2,92
1504969217,10,3
1504969504,3,15
1504970104,2,8
1504970704,12,18
1504971131,4,8
1504971303,98,10
1504971905,9,7
1504972504,17,14
1504973058,11,9
1504973403,6,7
1504974004,4,7
1504974603,4,7
1504974974,22,16
1504975204,5,6
1504975805,3,13
1504976404,1,6
1504976891,6,1
1504977004,2,4
1504977603,21,8
1504978359,5,30
1504978827,22,24
1504979406,0,14
1504980005,2,15
1504980746,19,12
1504981204,4,8
1504981510,1,91
1504982107,2,57
1504982651,15,9
1504982705,1,5
1504983302,0,4
1504983605,9,6
1504984206,290,545
1504984570,18,7
1504984804,0,8
1504985406,0,14
1504986005,0,15
1504986495,10,6
1504986604,1,2
1504987202,4,2
1504987803,4,6
1504989004,68,25
1504989621,52,6
1504990203,27,6
1504990804,2,7
1504991404,13,2
1504992003,9,1
1504992251,11,31
1504992603,14,4
1504993205,14,11
1504993804,8,10
1504994167,14,11
1504994405,16,7
1504995005,23,8
1504995604,12,3
1504996087,17,6
1504996212,17,95
1504996805,15,6
1504997113,1,87
1504997704,99,3
1504998020,7,9
1504998304,15,11
1504998905,10,7
1505000919,37,51
1505001004,11,13
1505001605,90881,207873
1505002203,4,12
1505002833,30,15
1505003106,1,7
1505003703,2,12
1505004251,13,0
1505004740,14,14
1505004903,4,1
1505005503,3,4
1505006104,13,4
1505006654,8,14
1505006704,5,3
1505007303,9,2
1505007903,4,0
1505008587,19,13
1505009102,4,1
1505009703,2,5
1505010308,3,91
1505010903,6,9
1505011504,3,5
1505012441,17,25
1505012704,10,4
1505013304,3,4
1505013907,4,6
1505014334,7,18
1505014807,14,14
1505015405,7,7
1505016281,11,17
1505016603,3,6
1505017204,5,12
1505017804,1,8
1505018174,13,14
1505018404,2,11
1505018888,11,0
1505019004,99,12
1505019605,1,12
1505020117,8,11
1505020203,0,2
