DateTime,Entries,UniqueIPs
1504759699,107950,9420297
1504760105,107938,9420285
1504760703,107950,9420297
1504761304,107942,9420287
1504761620,107944,9420289
1504761905,107932,9420277
1504762808,107927,9420272
1504763105,107923,9420267
1504763526,107919,9420263
1504763704,107903,9420246
1504764305,107905,9420248
1504764903,107905,9420248
1504765505,107891,9420234
1504766104,107889,9420232
1504766705,107901,9420244
1504767377,107895,9420238
1504767606,107890,9420232
1504768337,107890,9420232
1504768804,107892,9420233
1504769294,107896,9420237
1504769403,107896,9420237
1504770004,107884,9420225
1504770604,107879,9420220
1504771241,107877,9420218
1504771506,107869,9420210
1504772104,107866,9420207
1504772704,107857,9420198
1504773130,107860,9420201
1504773304,107862,9420203
1504773904,107865,9420206
1504774504,107885,9420226
1504775103,107890,9420231
1504775405,107888,9420229
1504776005,107877,9420218
1504776604,107899,9420241
1504776971,107889,9420230
1504777204,107888,9420229
1504777804,107888,9420229
1504778405,107889,9420230
1504779003,107881,9420222
1504779604,107878,9420219
1504780203,107880,9420221
1504780835,107867,9420207
1504781403,107879,9420220
1504781705,107877,9420218
1504782304,107896,9420237
1504782733,107903,9420243
1504782977,107886,9420227
1504783505,107874,9420216
1504784105,107866,9420207
1504784656,107874,9420214
1504784704,108216,9420616
1504785304,108206,9420606
1504785905,108189,9420589
1504786585,108191,9420591
1504787103,108204,9420605
1504787704,108202,9420603
1504788507,108217,9420616
1504788904,108226,9420625
1504789503,108232,9420631
1504790104,108228,9420627
1504790413,108224,9420623
1504790704,108210,9420608
1504791303,108212,9420610
1504792349,108200,9420598
1504792504,108183,9420585
1504793104,108176,9420578
1504793704,108154,9420556
1504794260,108150,9420552
1504794304,108132,9420534
1504794904,108167,9420569
1504795505,108169,9420569
1504796183,108169,9420568
1504796706,108162,9420561
1504798601,108209,9420606
1504799104,108249,9420646
1504799703,108260,9420657
1504800503,108261,9420658
1504800903,108263,9420660
1504801205,108273,9420670
1504801803,108275,9420672
1504802428,108267,9420663
1504803150,108255,9420651
1504803603,108232,9420628
1504804353,108223,9420618
1504804504,108211,9420607
1504805104,108209,9420605
1504805702,108205,9420600
1504806256,108202,9420599
1504806488,108211,9420608
1504806604,108201,9420597
1504807205,108223,9420617
1504808083,108200,9420591
1504808404,108285,9420683
1504809004,108296,9420694
1504809603,108295,9420693
1504810086,108297,9420696
1504810205,108333,9420731
1504810805,108325,9420724
1504811403,108329,9420728
1504812022,108261,9420660
1504812604,108324,9420723
1504813220,108331,9420730
1504813936,108340,9420738
1504814404,108353,9420751
1504815004,108353,9420751
1504815604,108343,9420741
1504815858,108361,9420759
1504816206,108338,9420736
1504816803,108338,9420736
1504817404,108337,9420735
1504818030,108336,9420736
1504818605,108316,9420716
1504819204,108313,9420713
1504819803,108313,9420713
1504820404,108321,9420721
1504821004,108319,9420719
1504821604,108320,9420720
1504821866,108309,9420709
1504822203,108310,9420710
1504822804,108309,9420709
1504823404,108316,9420716
1504823775,108310,9420710
1504824005,108305,9420705
1504824604,108290,9420690
1504825205,108282,9420682
1504825688,108288,9420688
1504825806,108287,9420687
1504826404,108289,9420689
1504827003,108293,9420694
1504827620,108314,9420716
1504828105,108322,9420724
1504828204,108323,9420725
1504828803,108320,9308586
1504829551,108322,9308588
1504829705,108319,9308584
1504830303,108309,9308574
1504830905,108322,9308587
1504831457,108318,9308583
1504831504,108314,9308579
1504832104,108313,9308578
1504832705,108312,9308577
1504833391,108318,9320516
1504834111,108301,9320499
1504834504,108299,9320497
1504835302,108298,9320496
1504835704,108297,9320495
1504836304,108295,9320493
1504836904,108293,9320490
1504837213,108303,9320500
1504837503,108302,9320499
1504838104,108303,9320501
1504838705,108297,9320495
1504839127,108302,9320500
1504839303,108299,9320497
1504839904,108297,9320495
1504840504,108293,9320491
1504841051,108294,9320492
1504841106,108300,9320500
1504841704,108303,9320503
1504842304,108306,9320506
1504842728,108311,9320511
1504842979,108281,9320479
1504843503,108283,9320481
1504844104,108285,9320483
1504844908,108292,9320490
1504845304,108295,9320493
1504845905,108304,9320498
1504846504,108304,9320498
1504846833,108317,9320511
1504847105,108308,9320502
1504847704,108306,9320499
1504848305,108296,9320488
1504848731,108300,9320492
1504848906,108288,9320480
1504849504,108283,9320475
1504850168,108296,9320487
1504850659,108296,9320487
1504850704,108296,9320488
1504851304,108295,9320487
1504851903,108296,9320488
1504852583,108290,9320482
1504853106,108274,9320466
1504854005,108266,9320455
1504854492,108268,9320457
1504854604,108283,9320472
1504855203,108283,9320472
1504855803,108282,9320471
1504856421,108281,9320469
1504857002,108281,9320469
1504857368,108285,9320473
1504857905,108295,9320483
1504858339,108287,9320475
1504858504,108296,9320484
1504859104,108297,9320485
1504859704,108296,9320484
1504860252,108287,9320474
1504860304,108305,9320492
1504860903,108310,9320497
1504861503,108312,9320499
1504861806,108313,9320501
1504862403,108310,9320498
1504862706,108308,9320496
1504863304,108283,9320471
1504864106,108270,9320457
1504864504,108271,9320458
1504865104,108266,9320453
1504865702,108289,9320477
1504866015,108283,9320471
1504866603,108279,9320467
1504867204,108279,9320467
1504867941,108247,9320435
1504868104,108245,9320432
1504868705,108235,9320422
1504869304,108286,9320485
1504869851,108283,9320482
