DateTime,AddedIPs,RemovedIPs
1504612921,15,3
1504614122,0,2
1504615322,1,1
1504616522,6,2
1504617122,3,2
1504618321,1,0
1504618922,2,6
1504620122,5,1
1504620721,1,1
1504621322,1,2
1504622521,0,1
1504623122,5,2
1504623721,1,0
1504624921,2,5
1504626122,2,1
1504626721,1,4
1504627921,0,3
1504628521,3,14
1504629722,0,3
1504630921,0,7
1504631522,3,3
1504632122,1,0
1504632721,0,7
1504633321,4,1
1504633922,1,0
1504634521,2,4
1504635122,3,3
1504635722,1,2
1504636921,2,1
1504637521,3,0
1504638721,6,1
1504639321,4,7
1504639922,0,1
1504640521,11,0
1504641721,3,2
1504642922,2,4
1504643581,2,2
1504644121,0,2
1504645322,3,1
1504645921,1,1
1504646521,4,9
1504647722,1,0
1504648921,6,0
1504649521,2,0
1504650122,8,2
1504650781,14,14
1504651322,15,6
1504651921,2,0
1504653722,7,8
1504654322,1,0
1504654921,1,0
1504655521,11,0
1504656122,3,0
1504656722,1,4
1504657322,12,0
1504657921,5,1
1504658522,5,1
1504659722,7,3
1504660921,5,1
1504661522,1,0
1504662122,6,8
1504663321,3,5
1504664521,2,6
1504665121,2,0
1504665181,0,1
1504666321,7,15
1504667521,0,1
1504668121,7,0
1504669322,2,2
1504670521,4,1
1504671122,2,4
1504671722,5,16
1504672321,1,0
1504673523,1,7
1504674121,1,2
1504675321,6,2
1504675921,0,3
1504675981,2,0
1504676521,5,45
1504677122,12,0
1504677722,2,1
1504678321,1,5
1504678921,2,5
1504680122,2,1
1504681321,6,0
1504681922,3,0
1504682521,3,4
1504683121,1,0
1504683181,0,1
1504683722,0,5
1504684322,1,3
1504684921,2,2
1504685521,0,2
1504686122,12,0
1504686722,0,1
1504687321,8,1
1504688521,2,2
1504689121,3,0
1504689721,0,6
1504690381,0,1
1504690921,1,0
1504692121,1,1
1504692721,3,1
1504693322,38,6
1504693981,0,12
1504694522,8,0
1504695721,2,2
1504696321,1,1
1504696922,4,2
1504697581,9,12
1504698122,4,1
1504698722,1,0
1504699322,4,1
1504699922,18,18
1504700522,10,2
1504702322,2,1
1504702922,4,0
1504703522,21,2
1504704121,2,6
1504704722,1,0
1504704781,0,7
1504705321,2,3
1504706521,1,0
1504707122,2,0
1504707721,1,6
1504708381,1,5
1504709522,3,2
1504710122,0,1
1504710721,6,0
1504711322,3,0
1504711921,0,4
1504713721,5,0
1504714922,1,0
1504715581,40,1
1504716722,2,4
1504718522,0,1
1504719122,18,0
1504719181,2,46
1504719722,8,3
1504720322,1,0
1504720921,2,0
1504721522,0,5
1504723322,2,3
1504724522,9,11
1504725721,0,1
1504726921,10,0
1504728122,9,0
1504729322,2,1
1504730522,14,0
1504731721,9,3
1504732321,2,0
1504732921,5,0
1504734121,4,0
1504734721,1,1
1504735322,2,6
1504736522,7,8
1504737181,5,11
1504737722,48,7
1504738922,17,3
1504740122,5,2
1504740721,8,2
1504740781,1,3
1504741321,8,1
1504742521,2,0
1504743722,0,3
1504744923,3,5
1504745521,2,0
1504746121,3,0
1504746722,2,2
1504747323,2,0
1504747921,0,1
1504748522,2,1
1504749121,1,5
1504749722,2,0
1504750321,1,0
1504750922,3,10
1504752122,21,0
1504752721,0,1
1504753322,23,1
1504753921,12,5
1504754521,7,1
1504755122,2,0
1504755181,1,3
1504755723,7,2
1504756322,3,0
1504756922,10,8
1504757521,4,4
1504758121,4,2
1504758781,3,3
1504759321,3,1
1504759922,0,3
1504760522,0,4
1504761122,2,1
1504761722,14,0
1504762322,4,4
1504762381,0,1
1504762922,0,5
1504764122,83,45
1504765321,20,1
1504765981,1,2
1504766522,12,1
1504767122,1,0
1504767722,12,3
1504768321,1,0
1504768921,0,4
1504769521,1,0
1504770122,8,5
1504770722,12,0
1504771321,11,0
1504772522,7,6
1504773181,0,6
1504773722,3,1
1504774922,6,2
1504775522,3,4
1504776121,1,0
1504776721,0,3
1504777322,9,1
1504777922,2,2
1504778522,9,4
1504779722,0,1
1504780922,1,2
1504782122,5,0
1504783322,25,3
1504784522,10,2
1504785721,11,2
1504786322,6,2
1504786921,35,16
1504787522,15,16
1504788122,1,0
1504789322,3,3
1504790522,5,4
1504791721,5,3
1504792321,1,0
1504792922,1,9
1504793522,4,5
1504794121,1,3
1504795322,1,1
1504796522,1,3
1504797122,3,3
1504798381,9,4
1504798922,20,2
1504799521,4,0
1504800121,1,0
1504800721,7,4
1504801322,5,0
1504801921,0,2
1504802522,0,2
1504803722,13,6
1504804322,1,0
1504804922,1,1
1504805581,0,1
1504806122,4,6
1504806722,2,6
1504807321,1,2
1504808521,3,4
1504809121,0,3
1504809722,2,5
1504812122,4,1
1504812722,5,4
1504813321,1,8
1504814522,2,0
1504815722,1,4
1504816321,2,0
1504816922,3,2
1504817521,9,6
1504818121,13,0
1504819322,2,3
1504819922,2,5
1504820522,3,5
1504821721,0,2
1504822322,1,2
1504822922,0,2
1504822984,18,0
1504823581,18,0
1504824122,2,2
1504825321,4,1
1504826522,3,4
1504827122,2,0
1504827721,1,4
1504828921,1,0
1504830122,1,1
1504830781,1,0
1504831322,4,0
1504832521,1,2
1504833122,2,0
1504833721,0,1
1504834922,3,12
1504837321,0,6
1504839721,2,2
1504840922,0,2
1504841522,15,0
1504842121,18,3
1504842721,4,4
1504843322,15,3
1504843922,1,1
1504844521,9,4
1504845181,6,5
1504845721,1,4
1504846921,5,0
1504847522,6,0
1504848122,1,1
1504849321,7,0
1504849921,46,27
1504850521,4,14
1504851121,3,3
1504851721,5,0
1504852922,4,7
1504853521,2,0
1504854121,1,2
1504855322,3,7
1504855982,1,0
1504857121,1,1
1504857722,3,10
1504858922,2,11
1504859521,1,3
1504860121,1,3
1504860722,2,2
1504861321,4,4
1504862521,2,3
1504863181,0,1
1504863722,2,0
1504864921,2,6
1504866122,2,7
1504868521,0,8
