DateTime,Entries,UniqueIPs
1504612921,28074,28879
1504614122,28073,28877
1504615322,28073,28877
1504616522,28078,28881
1504617122,28079,28882
1504618321,28080,28883
1504618922,28076,28879
1504620122,28079,28883
1504620721,28079,28883
1504621322,28079,28882
1504622521,28078,28881
1504623122,28081,28884
1504623721,28082,28885
1504624921,28079,28882
1504626122,28080,28883
1504626721,28076,28880
1504627921,28073,28877
1504628521,28062,28866
1504629722,28059,28863
1504630921,28052,28856
1504631522,28052,28856
1504632122,28053,28857
1504632721,28046,28850
1504633321,28049,28853
1504633922,28050,28854
1504634521,28048,28852
1504635122,28048,28852
1504635722,28046,28851
1504636921,28047,28852
1504637521,28050,28855
1504638721,28055,28860
1504639321,28052,28857
1504639922,28051,28856
1504640521,28062,28867
1504641721,28062,28868
1504642922,28060,28866
1504643581,28060,28866
1504644121,28058,28864
1504645322,28060,28866
1504645921,28060,28866
1504646521,28055,28861
1504647722,28056,28862
1504648921,28062,28868
1504649521,28064,28870
1504650122,28069,28876
1504650781,28069,28876
1504651322,28077,28885
1504651921,28079,28887
1504653722,28078,28886
1504654322,28079,28887
1504654921,28080,28888
1504655521,28091,28899
1504656122,28094,28902
1504656722,28091,28899
1504657322,28101,28911
1504657921,28105,28915
1504658522,28109,28919
1504659722,28113,28923
1504660921,28117,28927
1504661522,28118,28928
1504662122,28116,28926
1504663321,28113,28924
1504664521,28109,28920
1504665121,28111,28922
1504665181,28111,28921
1504666321,28103,28913
1504667521,28102,28912
1504668121,28109,28919
1504669322,28109,28919
1504670521,28112,28922
1504671122,28110,28920
1504671722,28099,28909
1504672321,28100,28910
1504673523,28094,28904
1504674121,28093,28903
1504675321,28097,28907
1504675921,28094,28904
1504675981,28096,28906
1504676521,28056,28866
1504677122,28068,28878
1504677722,28069,28879
1504678321,28065,28875
1504678921,28062,28872
1504680122,28063,28873
1504681321,28069,28879
1504681922,28072,28882
1504682521,28071,28881
1504683121,28072,28882
1504683181,28071,28881
1504683722,28066,28876
1504684322,28064,28874
1504684921,28064,28874
1504685521,28062,28872
1504686122,28074,28884
1504686722,28073,28883
1504687321,28080,28890
1504688521,28080,28890
1504689121,28083,28893
1504689721,28077,28887
1504690381,28076,28886
1504690921,28077,28887
1504692121,28077,28887
1504692721,28079,28889
1504693322,28109,28921
1504693981,28097,28909
1504694522,28104,28917
1504695721,28104,28917
1504696321,28104,28917
1504696922,28105,28919
1504697581,28102,28916
1504698122,28105,28919
1504698722,28106,28920
1504699322,28109,28923
1504699922,28108,28923
1504700522,28115,28931
1504702322,28116,28932
1504702922,28120,28936
1504703522,28139,28955
1504704121,28135,28951
1504704722,28136,28952
1504704781,28130,28945
1504705321,28128,28944
1504706521,28129,28945
1504707122,28131,28947
1504707721,28126,28942
1504708381,28122,28938
1504709522,28123,28939
1504710122,28122,28938
1504710721,28128,28944
1504711322,28131,28947
1504711921,28127,28943
1504713721,28132,28948
1504714922,28132,28949
1504715581,28171,28988
1504716722,28169,28986
