DateTime,Entries,UniqueIPs
1504051237,1818,1818
1504053147,1819,1819
1504055080,1853,1853
1504056971,1896,1896
1504058898,1922,1922
1504060830,1960,1960
1504062758,1995,1995
1504064653,2032,2032
1504066588,2062,2062
1504068508,2104,2104
1504070438,2524,2524
1504072342,2559,2559
1504074258,2592,2592
1504076185,2637,2637
1504078105,2687,2687
1504080014,2733,2733
1504081939,2755,2755
1504083859,2786,2786
1504085788,2803,2803
1504087703,2830,2830
1504089618,2851,2851
1504091532,2878,2878
1504093455,2905,2905
1504095382,2934,2934
1504097312,2956,2956
1504099217,2976,2976
1504101135,2996,2996
1504103066,3009,3009
1504104989,3014,3014
1504106904,3031,3031
1504108831,2044,2044
1504110736,2052,2052
1504112671,2581,2581
1504114585,2588,2588
1504117143,2616,2616
1504119141,2615,2615
1504121052,2613,2613
1504122986,2619,2619
1504124906,2632,2632
1504126812,2630,2630
1504128750,2639,2639
1504130658,2647,2647
1504132573,2653,2653
1504134491,2662,2662
1504136411,2650,2650
1504138330,2644,2644
1504140253,2652,2652
1504142171,2658,2658
1504144094,2659,2659
1504146032,2655,2655
1504147947,2649,2649
1504149852,2644,2644
1504151793,2684,2684
1504153694,2691,2691
1504155645,3138,3138
1504157547,3134,3134
1504159465,3128,3128
1504161389,3130,3130
1504163297,3133,3133
1504165226,3141,3141
1504167159,3146,3146
1504169058,3144,3144
1504170976,3145,3145
1504172893,3155,3155
1504174837,3164,3164
1504176743,3164,3164
1504178672,3180,3180
1504180572,3161,3161
1504182499,3155,3155
1504184439,3154,3154
1504186354,3165,3165
1504188267,3159,3159
1504190181,3157,3157
1504192353,3166,3166
1504194263,3161,3161
1504196175,1256,1256
1504198112,1238,1238
1504200021,2226,2226
1504202203,2201,2201
1504204108,2181,2181
1504206042,2125,2125
1504207944,2090,2090
1504210125,2062,2062
1504212037,2044,2044
1504213947,2018,2018
1504215857,2007,2007
1504218086,2005,2005
1504219940,1980,1980
1504221853,1945,1945
1504223780,1922,1922
1504225710,1891,1891
1504227630,1843,1843
1504229559,1812,1812
1504231462,1786,1786
1504233391,1764,1764
1504235312,1748,1748
1504237219,1742,1742
1504239142,1727,1727
1504241067,1702,1702
1504242993,2632,2632
1504244916,2592,2592
1504246842,2564,2564
1504248737,2544,2544
1504250653,2506,2506
1504252597,2467,2467
1504254508,2435,2435
1504256433,2372,2372
1504258340,2355,2355
1504260266,2324,2324
1504262197,2302,2302
1504264096,2273,2273
1504266031,2261,2261
1504267954,2242,2242
1504269869,2215,2215
1504271784,2201,2201
1504273700,2183,2183
1504275640,2153,2153
1504277550,2141,2141
1504279731,2115,2115
1504281635,996,996
1504283562,991,991
1504285455,1475,1475
1504287391,1477,1477
1504289427,1473,1473
1504291468,1479,1479
1504293385,1476,1476
1504295302,1458,1458
1504297229,1452,1452
1504299147,1447,1447
1504301050,1437,1437
1504302987,1431,1431
1504304887,1431,1431
1504306831,1427,1427
1504308737,1428,1428
1504310668,1416,1416
1504312584,1413,1413
1504314509,1405,1405
1504316408,1391,1391
1504318348,1382,1382
1504320250,1371,1371
1504322446,1365,1365
1504324331,1372,1372
1504326258,1371,1371
1504328185,1362,1362
1504330112,1811,1811
1504332047,1812,1812
1504333977,1830,1830
1504335861,1823,1823
1504337794,1813,1813
1504339693,1807,1807
1504341638,1803,1803
1504343541,1800,1800
1504345466,1788,1788
1504347394,1778,1778
1504349302,1774,1774
1504351216,1759,1759
1504353135,1759,1759
1504355053,1751,1751
1504356989,1748,1748
1504358896,1734,1734
1504360828,1721,1721
1504362745,1712,1712
1504364665,1708,1708
1504366834,1699,1699
1504368739,871,871
1504370673,885,885
1504372574,1254,1254
1504374492,1255,1255
1504376672,1257,1257
1504378587,1252,1252
1504380504,1245,1245
1504382427,1248,1248
1504384358,1257,1257
1504386261,1254,1254
