DateTime,Entries,UniqueIPs
1504569602,6775,6775
1504570501,6509,6509
1504571401,6217,6217
1504572301,5827,5827
1504573201,5483,5483
1504574101,5227,5227
1504575002,4888,4888
1504575901,4681,4681
1504576801,4628,4628
1504577702,4382,4382
1504578601,4194,4194
1504579501,4122,4122
1504580401,4076,4076
1504581301,4036,4036
1504582202,4014,4014
1504583101,3997,3997
1504584001,3920,3920
1504584901,3719,3719
1504585801,3567,3567
1504586701,3450,3450
1504587601,3412,3412
1504588501,3331,3331
1504589401,3285,3285
1504590301,3310,3310
1504591201,3184,3184
1504592102,3125,3125
1504593001,3099,3099
1504593901,3053,3053
1504594801,2954,2954
1504595701,3052,3052
1504596601,3263,3263
1504597501,3453,3453
1504598401,3715,3715
1504599301,3832,3832
1504600201,4142,4142
1504601102,4673,4673
1504602001,5053,5053
1504602902,5625,5625
1504603801,6073,6073
1504604702,6545,6545
1504605601,6795,6795
1504606501,6919,6919
1504607401,6941,6941
1504608301,7355,7355
1504609201,8119,8119
1504610102,11114,11114
1504611002,14661,14661
1504611902,14832,14832
1504612802,15049,15049
1504613702,15239,15239
1504614602,15445,15445
1504615502,15602,15602
1504616402,15767,15767
1504617302,15864,15864
1504618202,15691,15691
1504619102,15514,15514
1504620002,15402,15402
1504620902,15240,15240
1504621802,15247,15247
1504622702,14995,14995
1504623602,14595,14595
1504624502,14305,14305
1504625401,13816,13816
1504626302,13446,13446
1504627202,13081,13081
1504628102,12931,12931
1504629002,12873,12873
1504629902,12926,12926
1504630802,12615,12615
1504631702,11943,11943
1504632602,9100,9100
1504633501,5580,5580
1504634401,5466,5466
1504635301,5289,5289
1504636201,5192,5192
1504637101,5124,5124
1504638001,5231,5231
1504638901,5185,5185
1504639801,5477,5477
1504640701,5918,5918
1504641601,6229,6229
1504642501,6293,6293
1504643401,6287,6287
1504644302,6352,6352
1504645201,6378,6378
1504646101,8436,8436
1504647002,11476,11476
1504647902,14086,14086
1504648802,15967,15967
1504649702,17670,17670
1504650603,18923,18923
1504651502,20743,20743
1504652402,22767,22767
1504653302,24194,24194
1504654203,25369,25369
1504655102,26266,26266
1504656002,27516,27516
1504656902,29129,29129
1504657802,30285,30285
1504658703,31538,31538
1504659602,33090,33090
1504660503,35028,35028
1504661403,36525,36525
1504662304,37970,37970
1504663203,39897,39897
1504664104,39888,39888
1504665004,39886,39886
1504665903,39888,39888
1504666803,39892,39892
1504667704,39898,39898
1504668603,39897,39897
1504669504,39902,39902
1504670404,39903,39903
1504671303,39913,39913
1504672204,39917,39917
1504673103,39920,39920
1504674004,39923,39923
1504674904,39923,39923
1504675803,39928,39928
1504676704,39931,39931
1504677603,39929,39929
1504678503,39937,39937
1504679403,39941,39941
1504680304,39944,39944
1504681204,39937,39937
1504682103,39934,39934
1504683004,39934,39934
1504683904,39934,39934
1504684804,39934,39934
1504685704,39933,39933
1504686604,39933,39933
1504687504,39933,39933
1504688403,39932,39932
1504689304,39932,39932
1504690203,39931,39931
1504691104,39932,39932
1504692003,39930,39930
1504692904,36867,36867
1504693803,34951,34951
1504694703,33452,33452
1504695603,31269,31269
1504696502,28350,28350
1504697403,26604,26604
1504698302,25135,25135
1504699203,23422,23422
1504700102,20875,20875
1504701002,18469,18469
1504701903,18410,18410
1504702802,19401,19401
1504703702,20318,20318
1504704602,20324,20324
1504705502,20531,20531
1504706402,22536,22536
1504707302,26018,26018
1504708202,27728,27728
1504709102,27750,27750
1504710002,27835,27835
1504710902,28437,28437
1504711803,29088,29088
1504712703,29727,29727
1504713603,30470,30470
1504714504,34979,34979
1504715404,38836,38836
1504716304,39958,39958
1504717204,39958,39958
1504718104,39958,39958
1504719003,39958,39958
1504719903,39956,39956
1504720803,39957,39957
1504721704,39951,39951
1504722603,39952,39952
1504723504,39955,39955
1504724404,39960,39960
1504725304,39963,39963
1504726204,39961,39961
1504727104,39962,39962
1504728004,39960,39960
1504728904,39960,39960
1504729804,39958,39958
1504730704,39957,39957
1504731603,39954,39954
1504732504,39954,39954
1504733404,39951,39951
1504734304,39948,39948
1504735204,39948,39948
1504736103,39950,39950
1504737004,39950,39950
1504737904,39949,39949
1504738804,39948,39948
1504739704,39940,39940
1504740604,39942,39942
1504741503,39939,39939
1504742404,39938,39938
1504743303,39656,39656
1504744203,39937,39937
1504745104,39941,39941
1504746003,39939,39939
1504746903,39932,39932
1504747803,39934,39934
1504748704,39931,39931
1504749604,39935,39935
1504750504,39933,39933
1504751404,39937,39937
1504752304,39940,39940
1504753205,39949,39949
1504754104,39955,39955
1504755004,39959,39959
1504755905,39960,39960
1504756805,39964,39964
1504757704,39968,39968
1504758604,39966,39966
1504759505,39965,39965
1504760405,39964,39964
1504761304,39964,39964
1504762205,39963,39963
1504763104,39962,39962
1504764005,39962,39962
1504764905,39961,39961
1504765805,39959,39959
1504766704,39958,39958
1504767604,39958,39958
1504768504,39959,39959
1504769404,39959,39959
1504770305,39959,39959
1504771205,37827,37827
1504772104,34599,34599
1504773003,31087,31087
1504773903,27733,27733
1504774803,24771,24771
1504775703,21253,21253
1504776602,17986,17986
1504777502,14775,14775
1504778402,11383,11383
1504779301,7632,7632
1504780201,3855,3855
1504781101,3065,3065
1504782001,3267,3267
1504782901,3528,3528
1504783801,3756,3756
1504784701,4011,4011
1504785601,4166,4166
1504786501,4375,4375
