DateTime,Entries,UniqueIPs
1504774325,5141,5141
1504774809,5143,5143
1504775286,5138,5138
1504775771,5132,5132
1504776328,5131,5131
1504776727,5133,5133
1504777205,5142,5142
1504777935,5128,5128
1504778412,5120,5120
1504778886,5131,5131
1504779365,5131,5131
1504779854,5128,5128
1504780324,5132,5132
1504780812,5123,5123
1504781286,5129,5129
1504781770,5123,5123
1504782246,5130,5130
1504782726,5133,5133
1504783205,5124,5124
1504783694,5133,5133
1504784164,5126,5126
1504784645,5134,5134
1504785126,5121,5121
1504785618,5135,5135
1504786086,5131,5131
1504786565,5132,5132
1504787050,5119,5119
1504787529,5133,5133
1504788005,5131,5131
1504788488,5128,5128
1504788970,5130,5130
1504789450,5130,5130
1504789930,5119,5119
1504790404,5123,5123
1504790891,5121,5121
1504791366,5132,5132
1504791850,5122,5122
1504792325,5121,5121
1504792815,5119,5119
1504793290,5132,5132
1504793771,5131,5131
1504794244,5131,5131
1504794724,5122,5122
1504795208,5127,5127
1504795686,5123,5123
1504796166,5131,5131
1504796646,5123,5123
1504797133,5133,5133
1504798570,5121,5121
1504799049,5121,5121
1504799524,5122,5122
1504800036,5121,5121
1504800486,5131,5131
1504800968,5138,5138
1504801444,5130,5130
1504801924,5119,5119
1504802405,5134,5134
1504802894,5120,5120
1504803365,5119,5119
1504803852,5129,5129
1504804325,5128,5128
1504804814,5120,5120
1504805286,5117,5117
1504805764,5122,5122
1504806245,5118,5118
1504806727,5134,5134
1504807229,5131,5131
1504807933,5134,5134
1504808405,5120,5120
1504808890,5129,5129
1504809365,5127,5127
1504809850,5119,5119
1504810324,5116,5116
1504810821,5121,5121
1504811286,5132,5132
1504811770,5130,5130
1504812246,5121,5121
1504812732,5131,5131
1504813205,5118,5118
1504813686,5123,5123
1504814166,5130,5130
1504814471,5120,5120
1504814885,5130,5130
1504815364,5132,5132
1504815851,5120,5120
1504816327,5118,5118
1504816805,5118,5118
1504817290,5117,5117
1504818014,5128,5128
1504818496,5119,5119
1504818964,5122,5122
1504819447,5118,5118
1504819945,5130,5130
1504820412,5128,5128
1504820884,5134,5134
1504821371,5130,5130
1504821846,5130,5130
1504822329,5130,5130
1504822809,5132,5132
1504823287,5132,5132
1504823766,5127,5127
1504824252,5125,5125
1504824724,5131,5131
1504825451,5120,5120
1504825924,5132,5132
1504826409,5118,5118
1504826884,5140,5140
1504827364,5117,5117
1504828094,5128,5128
1504828569,5117,5117
1504829046,5134,5134
1504829531,5127,5127
1504830006,5134,5134
1504830486,5132,5132
1504830965,5123,5123
1504831450,5132,5132
1504831928,5125,5125
1504832420,5131,5131
1504832886,5113,5113
1504833366,5129,5129
1504833849,5119,5119
1504834324,5133,5133
1504834806,5132,5132
1504835284,5130,5130
1504835768,5126,5126
1504836246,5132,5132
1504836725,5123,5123
1504837204,5122,5122
1504837687,5131,5131
1504838164,5132,5132
1504838650,5128,5128
1504839124,5135,5135
1504839614,5136,5136
1504840085,5135,5135
1504840565,5119,5119
1504841044,5140,5140
1504841528,5129,5129
1504842004,5134,5134
1504842484,5124,5124
1504842964,5144,5144
1504843448,5126,5126
1504843930,5135,5135
1504844403,5132,5132
1504844887,5135,5135
1504845367,5124,5124
1504845851,5136,5136
1504846324,5136,5136
1504846815,5136,5136
1504847289,5126,5126
1504847764,5140,5140
1504848245,5134,5134
1504848724,5121,5121
1504849207,5132,5132
1504849685,5125,5125
1504850171,5135,5135
1504850645,5133,5133
1504851133,5126,5126
1504851604,5126,5126
1504852566,5124,5124
1504853047,5125,5125
1504853525,5125,5125
1504854020,5118,5118
1504854487,5123,5123
1504854969,5133,5133
1504855444,5122,5122
1504855931,5131,5131
1504856404,5128,5128
1504856893,5122,5122
1504857365,5127,5127
1504857854,5132,5132
1504858330,5129,5129
1504858809,5122,5122
1504859291,5124,5124
1504859764,5126,5126
1504860245,5135,5135
1504860733,5132,5132
1504861208,5137,5137
1504861687,5136,5136
1504862163,5121,5121
1504862654,5127,5127
1504863129,5120,5120
1504863605,5125,5125
1504864089,5124,5124
1504864568,5122,5122
1504865045,5126,5126
1504865525,5123,5123
1504866005,5136,5136
1504866494,5129,5129
1504866964,5135,5135
1504867447,5134,5134
1504867925,5125,5125
1504868419,5138,5138
1504868887,5123,5123
1504869368,5128,5128
1504869844,5141,5141
1504870334,5129,5129
1504870805,5128,5128
1504871290,5128,5128
1504871765,5130,5130
1504872254,5137,5137
1504872724,5129,5129
1504873221,5130,5130
1504873684,5140,5140
1504874169,5125,5125
1504874645,5134,5134
1504875128,5127,5127
1504875619,5141,5141
1504876093,5139,5139
1504876565,5130,5130
1504877044,5127,5127
1504877524,5127,5127
1504878016,5138,5138
1504878485,5130,5130
1504878971,5140,5140
1504879446,5127,5127
1504879933,5125,5125
1504880405,5129,5129
1504880886,5139,5139
1504881364,5127,5127
1504882575,5137,5137
1504883047,5128,5128
1504883531,5124,5124
1504884006,5125,5125
1504884493,5135,5135
1504884970,5136,5136
1504885446,5139,5139
1504885932,5140,5140
1504886419,5127,5127
1504886893,5129,5129
1504887370,5126,5126
1504887845,5125,5125
1504888327,5137,5137
1504888807,5137,5137
1504889284,5125,5125
1504889766,5138,5138
1504890249,5124,5124
1504890727,5126,5126
1504891211,5133,5133
1504891686,5136,5136
1504892167,5128,5128
1504892644,5136,5136
1504893124,5129,5129
1504893613,5128,5128
1504894089,5137,5137
1504894572,5134,5134
1504895045,5138,5138
1504895526,5134,5134
1504896009,5132,5132
1504896490,5123,5123
1504896968,5138,5138
1504897687,5138,5138
1504898165,5126,5126
1504898650,5138,5138
1504899130,5132,5132
1504899606,5124,5124
1504900086,5126,5126
1504900820,5137,5137
1504901527,5128,5128
1504902010,5127,5127
1504902732,5128,5128
1504903204,5136,5136
1504903688,5136,5136
1504904165,5135,5135
1504904651,5129,5129
1504905371,5138,5138
1504905844,5133,5133
1504906325,5139,5139
1504906806,5129,5129
1504907290,5131,5131
1504907774,5139,5139
1504908249,5141,5141
1504908970,5139,5139
1504909701,5139,5139
1504910165,5138,5138
1504910650,5137,5137
1504911124,5137,5137
1504911639,5137,5137
1504912087,5126,5126
1504912564,5134,5134
1504913048,5129,5129
1504913528,5124,5124
1504914006,5126,5126
1504914484,5131,5131
1504914970,5138,5138
1504915449,5132,5132
1504915930,5134,5134
1504916405,5138,5138
1504916891,5135,5135
1504917369,5137,5137
1504917851,5132,5132
1504918325,5138,5138
1504918817,5134,5134
1504919288,5128,5128
1504919769,5127,5127
1504920245,5121,5121
1504920730,5130,5130
1504921208,5134,5134
1504921690,5129,5129
1504922166,5133,5133
1504922648,5134,5134
1504923128,5136,5136
1504923609,5126,5126
1504924085,5125,5125
1504924564,5127,5127
1504925048,5132,5132
1504925526,5130,5130
1504926014,5128,5128
1504926486,5137,5137
1504926967,5137,5137
1504927445,5131,5131
1504927925,5123,5123
1504928407,5136,5136
1504928889,5127,5127
1504929366,5136,5136
1504929849,5136,5136
1504930326,5136,5136
1504930806,5130,5130
1504931286,5136,5136
1504931765,5128,5128
1504932244,5123,5123
1504932728,5134,5134
1504933214,5137,5137
1504933687,5125,5125
1504934164,5135,5135
1504934648,5137,5137
1504935126,5132,5132
1504935605,5130,5130
1504936090,5138,5138
1504936572,5124,5124
1504937046,5125,5125
1504937534,5125,5125
1504938005,5138,5138
1504938487,5126,5126
1504938964,5132,5132
1504939449,5136,5136
1504939925,5125,5125
1504940419,5129,5129
1504940886,5136,5136
1504941364,5133,5133
1504941848,5135,5135
1504942328,5125,5125
1504942806,5127,5127
1504943285,5119,5119
