DateTime,AddedIPs,RemovedIPs
1504461602,0,1
1504463402,1,0
1504464901,0,1
1504466702,1,0
1504467302,0,1
1504467602,1,0
1504468802,0,1
1504470002,1,0
1504470602,0,1
1504471202,1,0
1504472702,0,1
1504473602,1,0
1504474202,0,1
1504474502,1,0
1504474802,0,1
1504476602,1,2
1504477202,2,1
1504479302,1,0
1504479902,0,1
1504480502,1,0
1504480802,0,1
1504482602,1,0
1504482901,0,1
1504483202,1,3
1504483502,0,1
1504483801,1,0
1504484102,0,1
1504485002,1,0
1504485301,0,1
1504485902,1,0
1504486501,0,1
1504487102,1,0
1504487403,0,1
1504487702,1,0
1504488303,0,1
1504488902,1,0
1504489802,0,1
1504490102,1,0
1504490702,0,1
1504491002,1,0
1504491302,0,1
1504491902,1,0
1504492502,0,1
1504493102,1,0
1504493402,0,1
1504494902,1,0
1504495502,0,1
1504496702,1,0
1504497002,0,1
1504498802,1,0
1504499702,0,1
1504500002,1,0
1504500302,0,1
1504501502,1,0
1504501802,0,1
1504503302,1,0
1504503902,0,1
1504504202,1,0
1504504502,0,1
1504505102,1,0
1504506302,0,1
1504506602,1,0
1504506902,0,1
1504508101,1,0
1504508402,0,1
1504508702,1,0
1504509001,0,1
1504509602,1,0
1504510202,0,1
1504510501,1,0
1504510801,0,1
1504511102,1,0
1504512002,0,1
1504512602,1,0
1504512902,0,1
1504513502,1,0
1504513801,0,1
1504514101,1,0
1504514402,0,1
1504515002,1,0
1504515302,0,1
1504515902,1,0
1504517102,0,1
1504518302,1,0
1504518602,0,1
1504519502,1,0
1504520102,0,1
1504521902,1,0
1504522202,0,1
1504523402,1,0
1504524002,0,1
1504524303,1,0
1504524602,0,1
1504525502,1,0
1504525802,0,1
1504526102,1,0
1504528202,0,1
1504528802,1,0
1504529401,0,1
1504530002,1,0
1504530602,0,1
1504531802,1,0
1504532102,0,1
1504532702,1,0
1504533001,0,1
1504533302,1,0
1504533902,0,1
1504534202,1,0
1504534502,0,1
1504535103,1,0
1504535402,0,1
1504536902,1,0
1504537502,0,1
1504537802,1,0
1504538102,0,1
1504538702,1,0
1504539002,0,1
1504539602,1,0
1504540202,0,1
1504541702,1,0
1504542302,1,0
1504543203,0,1
1504544402,1,0
1504545602,0,1
1504548302,1,0
1504548602,0,1
1504549502,1,0
1504551002,0,1
1504553102,1,0
1504553402,0,1
1504554602,2,0
1504554902,0,1
1504555202,1,0
1504555502,0,1
1504555802,1,0
1504556402,0,1
1504557002,1,0
1504557602,0,1
1504559402,1,0
1504560002,0,1
1504560902,1,0
1504561202,0,2
1504562402,1,0
1504563002,1,0
1504563602,0,1
1504564202,1,0
1504564802,0,1
1504565402,1,0
1504566002,0,1
1504566602,1,0
1504566902,0,1
1504567503,1,0
1504567802,0,1
1504569602,1,1
1504570802,0,1
1504572002,1,0
1504572602,0,1
1504574702,1,0
1504575303,0,1
1504575602,1,0
1504575902,0,1
1504576503,1,0
1504577103,0,1
1504579203,1,0
1504581602,0,1
1504582502,1,0
1504582802,0,1
1504583402,1,0
1504583702,0,1
1504585202,1,0
1504585503,0,1
1504587902,1,0
1504588502,0,1
1504588802,1,0
1504589102,0,1
1504589702,1,0
1504591202,0,1
1504592101,1,0
1504593302,0,1
1504593602,1,0
