DateTime,AddedIPs,RemovedIPs
1504592521,59,59
1504593722,52,52
1504594921,71,71
1504595521,41,41
1504596122,60,60
1504596721,45,45
1504597322,39,38
1504597922,17,18
1504598521,48,47
1504599122,57,56
1504599721,29,30
1504600921,74,74
1504602122,69,69
1504603321,69,69
1504603922,49,49
1504604522,53,53
1504605121,61,60
1504605722,57,58
1504606322,80,80
1504606921,45,45
1504607521,57,57
1504608122,48,48
1504609322,60,61
1504610521,62,61
1504611721,55,55
1504612921,38,38
1504614122,29,29
1504614721,10,11
1504615322,17,17
1504616522,17,17
1504617122,29,29
1504617722,22,22
1504618922,54,54
1504619522,27,27
1504620121,21,21
1504620721,18,18
1504621322,13,13
1504621921,6,6
1504622521,14,14
1504623721,43,42
1504624921,52,53
1504626122,60,58
1504626721,30,30
1504627322,53,53
1504627921,58,58
1504628521,46,47
1504629122,39,39
1504629722,45,46
1504630921,65,64
1504631522,44,43
1504632122,55,55
1504633321,78,79
1504634521,66,67
1504635121,48,47
1504635722,36,36
1504636921,63,64
1504638121,53,53
1504638721,54,53
1504639321,54,54
1504640521,83,82
1504641721,69,71
1504642922,75,73
1504643522,74,74
1504644121,42,43
1504645322,61,62
1504646521,63,63
1504647722,81,79
1504648921,85,86
1504650122,72,72
1504650722,68,67
1504651322,69,69
1504652521,77,78
1504653721,71,72
1504654322,46,44
1504654921,50,50
1504656122,76,78
1504656722,73,71
1504657322,67,67
1504658522,73,75
1504659722,62,61
1504660921,71,71
1504662122,65,65
1504663321,69,70
1504664521,57,57
1504665121,26,26
1504665722,42,42
1504666321,22,21
1504666921,46,47
1504667521,37,37
1504668121,42,41
1504669322,48,48
1504670521,61,62
1504671122,37,37
1504671722,60,60
1504672321,47,46
1504672921,44,44
1504673523,33,34
1504674121,35,35
1504675321,76,75
1504675921,34,35
1504676521,52,52
1504677122,46,46
1504677722,43,43
1504678321,29,28
1504678921,49,50
1504680122,43,43
1504681321,61,59
1504681922,30,32
1504682521,18,18
1504683121,38,38
1504683722,20,20
1504684921,57,57
1504685521,36,36
1504686122,37,35
1504687321,55,56
1504688521,56,56
1504689121,38,38
1504689721,43,43
1504690322,36,37
1504690921,24,24
1504692121,42,42
1504692721,32,32
1504693322,52,51
1504694522,39,40
1504695721,33,33
1504696921,57,56
1504697522,14,14
1504698122,21,21
1504698722,23,23
1504699322,28,29
1504699922,28,28
1504700522,20,20
1504701721,14,14
1504702321,10,10
1504702921,22,22
1504703521,37,36
1504704121,2,2
1504704722,15,16
1504705321,16,16
1504706521,19,19
1504707721,31,31
1504709521,27,27
1504710122,5,5
1504710721,21,21
1504711322,9,9
1504711921,17,17
1504712521,6,5
1504713721,20,21
1504714922,30,30
1504716121,34,33
1504716722,21,22
1504717322,19,19
1504717922,21,21
1504718521,27,27
1504719122,41,40
1504719722,33,32
1504720322,29,29
1504720921,42,43
1504721522,36,36
1504722121,24,25
1504723322,45,44
1504724522,69,69
1504725721,66,65
1504726921,72,73
1504728122,71,70
1504729322,59,60
1504730522,79,80
1504731721,76,75
1504732321,36,36
1504732921,53,54
1504733521,38,38
1504734121,64,63
1504734721,32,31
1504735322,65,66
1504736522,96,95
1504737121,56,56
1504737722,54,54
1504738922,82,83
1504740122,79,79
1504740721,65,64
1504741321,47,48
1504742521,90,90
1504743722,80,80
1504744923,73,72
1504745521,40,40
1504746121,43,43
1504746722,79,79
1504747323,42,42
1504747921,49,50
1504748522,36,37
1504749121,26,26
1504749722,25,24
1504750321,45,45
1504750922,51,51
1504752122,76,76
1504752721,35,34
1504753321,53,53
1504753921,50,51
1504754521,48,48
1504755122,28,29
1504755722,63,62
1504756322,51,51
1504756922,67,67
1504757521,28,28
1504758121,28,28
1504759321,64,64
1504760522,48,47
1504761122,60,61
1504761722,70,69
1504762322,66,68
1504762922,30,30
1504764122,87,85
1504765321,65,65
1504766522,69,69
1504767722,66,67
1504768921,53,53
1504769521,15,15
1504770122,37,37
1504770722,56,55
1504771321,72,72
1504772522,67,68
1504773722,64,64
1504774922,57,58
1504775522,42,42
1504776121,35,35
1504777322,84,82
1504778522,74,76
1504779722,56,56
1504780922,54,53
1504782122,60,60
1504783321,84,84
1504784522,80,79
1504785721,61,63
1504786322,23,23
1504786921,21,21
1504788122,33,33
1504789322,29,27
1504789922,32,33
1504790522,28,29
1504791721,18,18
1504792321,16,16
1504792922,22,22
1504793522,24,24
1504794121,18,18
1504795322,38,38
1504796522,38,38
1504797121,19,19
1504798321,57,56
1504798922,53,53
1504799521,32,32
1504800121,29,29
1504800721,24,24
1504801322,34,34
1504802522,57,58
1504803722,55,54
1504804322,32,33
1504804922,22,22
1504805521,30,30
1504806122,37,35
1504806722,45,45
1504807321,23,24
1504808521,68,68
1504809722,69,69
1504810921,58,58
1504812122,81,80
1504812722,60,62
1504813321,60,58
1504814522,67,69
1504815722,49,48
1504816321,52,52
1504816922,56,56
1504817521,72,71
1504818121,60,60
1504819322,61,61
1504819922,67,68
1504820522,24,24
1504821721,80,79
1504822322,44,45
1504822922,40,40
1504824121,63,63
1504825321,68,68
1504826522,83,82
1504827122,41,41
1504827721,68,69
1504828921,73,72
1504830122,89,89
1504830721,35,35
1504831322,68,68
1504832521,81,81
1504833122,49,50
1504833721,69,69
1504834922,79,80
1504836122,61,61
1504837321,41,41
1504838521,69,67
1504839721,57,57
1504840922,52,52
1504841522,36,37
1504842121,58,58
1504842721,43,42
1504843322,50,51
1504844521,73,72
1504845122,43,44
1504845721,48,47
1504846921,76,76
1504847522,40,41
1504848122,39,40
1504849321,54,54
1504850521,67,67
1504851121,40,40
1504851721,45,44
1504852922,70,69
1504853521,68,68
1504854121,70,70
1504855321,77,78
1504856522,60,60
1504857121,33,33
1504857722,29,29
1504858321,22,23
1504858922,13,13
1504859521,47,47
1504860121,33,33
1504861321,48,48
1504862521,60,59
1504863722,64,65
1504864921,66,66
1504866122,59,59
1504867321,55,55
1504868521,36,36
1504869121,46,45
