DateTime,Entries,UniqueIPs
1502512355,8937,8937
1502514184,8936,8936
1502518654,8927,8927
1502525858,8932,8932
1502533057,8931,8931
1502535788,9707,9707
1502541156,9705,9705
1502542983,9706,9706
1502547454,9703,9703
1502554657,9704,9704
1502561856,9702,9702
1502569058,9698,9698
1502576254,9705,9705
1502578985,9706,9706
1502583463,9707,9707
1502589792,9708,9708
1502590665,9707,9707
1502598757,9706,9706
1502605056,9698,9698
1502612265,9701,9701
1502619457,9700,9700
1502626662,9704,9704
1502633859,9707,9707
1502641053,9707,9707
1502648264,9707,9707
1502652755,9708,9708
1502655455,9707,9707
1502662657,9709,9709
1502668058,9710,9710
1502669862,9707,9707
1502677053,9706,9706
1502685164,9708,9708
1502687858,9709,9709
1502688760,9708,9708
1502689656,9707,9707
1502691457,9708,9708
1502694186,9709,9709
1502698653,9716,9716
1502705858,9718,9718
1502713058,9720,9720
1502720250,9721,9721
1502727451,9719,9719
1502731061,9720,9720
1502734533,9728,9728
1502741896,9723,9723
1502747256,10584,10584
1502749060,10592,10592
1502756253,10590,10590
1502759856,10589,10589
1502763457,10585,10585
1502769791,10586,10586
1502770703,10589,10589
1502777873,10588,10588
1502785070,10593,10593
1502792269,10597,10597
1502799470,10596,10596
1502806672,10598,10598
1502811167,10599,10599
1502813866,10600,10600
1502821975,10596,10596
1502823820,11452,11452
1502828265,11455,11455
1502835461,11453,11453
1502842659,11451,11451
1502849861,11450,11450
1502850762,11451,11451
1502857116,11444,11444
1502864260,11442,11442
1502865159,11443,11443
1502868762,11444,11444
1502871464,11445,11445
1502878663,11442,11442
1502880465,11443,11443
1502884072,11444,11444
1502884994,11445,11445
1502885859,11448,11448
1502887659,11450,11450
1502893065,11451,11451
1502896662,11452,11452
1502900260,11455,11455
1502907462,11453,11453
1502914659,11456,11456
1502921865,11459,11459
1502929070,11460,11460
1502936258,11454,11454
1502943476,11453,11453
1502950667,11452,11452
1502958024,11449,11449
1502959665,11448,11448
1502965059,11451,11451
1502972262,11451,11451
1502979460,11451,11451
1502986668,11451,11451
1502991171,12300,12300
1502993860,12293,12293
1503001071,12292,12292
1503008264,12294,12294
1503011864,12295,12295
1503012766,12296,12296
1503015464,12292,12292
1503022661,12296,12296
1503029880,12291,12291
1503037067,12290,12290
1503042468,12291,12291
1503044262,12290,12290
1503051472,12284,12284
1503058665,12285,12285
1503065863,12278,12278
1503073072,12286,12286
1503080276,10668,10668
1503087472,10669,10669
1503093792,10668,10668
1503094668,10668,10668
1503101861,10668,10668
1503109066,10664,10664
1503116279,10667,10667
1503117164,10668,10668
1503120764,10032,10032
1503123463,10030,10030
1503128867,10031,10031
1503130654,10034,10034
1503137859,10033,10033
1503145069,10027,10027
1503147800,10028,10028
1503152260,10029,10029
1503159462,10030,10030
1503163058,10031,10031
1503166660,10029,10029
1503169395,9258,9258
1503173865,9257,9257
1503176598,9256,9256
1503177461,9257,9257
1503181063,9255,9255
1503188262,9254,9254
1503190062,9253,9253
1503195462,9253,9253
1503199056,9254,9254
1503202682,9251,9251
1503208066,9252,9252
1503209866,9254,9254
1503213466,9255,9255
1503217065,9257,9257
1503224263,9257,9257
1503231464,9255,9255
1503238672,9256,9256
1503242263,9255,9255
1503245875,9253,9253
1503253064,9256,9256
1503260265,9257,9257
1503267459,9257,9257
1503274661,9259,9259
1503280062,9258,9258
1503281865,9255,9255
1503289076,9257,9257
1503290855,9256,9256
1503296268,9255,9255
1503303453,9253,9253
1503310666,9253,9253
1503317865,9249,9249
1503325057,9247,9247
1503328658,9246,9246
1503332260,9249,9249
1503335863,9248,9248
1503336783,10258,10258
1503337663,10232,10232
1503339465,10238,10238
1503341269,9376,9376
1503343066,9377,9377
1503346666,9379,9379
1503350258,9380,9380
1503353864,9393,9393
1503354761,9205,9205
1503361060,9209,9209
1503365554,9208,9208
1503368269,9210,9210
1503375484,9209,9209
1503382666,9205,9205
1503385393,9206,9206
1503389865,9209,9209
1503397063,9206,9206
1503404264,9213,9213
1503411470,9210,9210
1503418664,9213,9213
1503420464,8691,8691
1503425861,8693,8693
1503433076,8695,8695
1503437576,9782,9782
1503440270,9783,9783
1503447471,9782,9782
1503454665,9779,9779
1503458271,9778,9778
1503461882,9778,9778
1503469062,9778,9778
1503476262,9779,9779
1503483463,9779,9779
1503490674,9779,9779
1503497864,9775,9775
1503505062,9778,9778
1503507797,8936,8936
1503511401,8937,8937
1503512266,8935,8935
1503516765,8936,8936
1503519463,8934,8934
1503520374,8933,8933
1503526660,8931,8931
1503528464,10053,10053
1503533870,10050,10050
1503541065,10047,10047
1503548287,10048,10048
1503555467,10047,10047
1503562672,10048,10048
1503569871,10045,10045
1503573469,10044,10044
1503577071,10041,10041
1503584267,10040,10040
1503587863,10041,10041
1503591464,10040,10040
1503597804,10039,10039
1503598666,9019,9019
1503601401,9020,9020
1503605868,9020,9020
1503613059,9025,9025
1503620266,9025,9025
1503627459,9018,9018
1503634675,9019,9019
1503641862,9015,9015
1503649067,9018,9018
1503656266,9020,9020
1503663461,9025,9025
1503670661,9017,9017
1503677877,9918,9918
1503685073,9926,9926
1503688668,9927,9927
1503692271,9927,9927
1503699470,9921,9921
1503706676,9921,9921
1503713871,9920,9920
1503721079,9917,9917
1503721973,9918,9918
1503728283,9918,9918
1503735472,9916,9916
1503742670,9916,9916
1503745400,8937,8937
1503749867,8934,8934
