DateTime,AddedIPs,RemovedIPs
1503082962,1,0
1503086562,2,2
1503090222,2,1
1503093762,2,0
1503097422,1,5
1503101022,1,1
1503111762,3,5
1503119022,2,3
1503122562,2,2
1503126162,3,2
1503129762,3,4
1503133362,2,3
1503136962,1,2
1503140622,2,2
1503144222,1,2
1503147762,2,1
1503151422,2,3
1503155022,2,4
1503158623,2,2
1503162223,1,1
1503165763,1,1
1503169363,0,1
1503172963,0,1
1503176563,0,1
1503180163,1,3
1503183763,2,1
1503187363,2,1
1503198163,3,3
1503201823,0,1
1503205363,2,1
1503208963,2,3
1503212624,1,3
1503216163,4,5
1503219763,0,1
1503223363,1,0
1503227023,2,3
1503230623,1,0
1503234163,3,0
1503237823,1,0
1503241364,3,1
1503244964,1,2
1503248564,4,5
1503252224,4,2
1503255824,2,1
1503259424,1,2
1503263024,1,0
1503266564,4,3
1503273824,3,2
1503277424,0,4
1503280964,1,1
1503284624,3,2
1503288164,2,1
1503291764,2,5
1503295364,5,3
1503299024,3,4
1503306164,1,0
1503309824,3,0
1503313364,0,1
1503317025,0,3
1503320565,1,2
1503324165,1,0
1503327765,3,2
1503331365,3,1
1503334965,5,3
1503338565,4,0
1503342165,3,6
1503345765,4,1
1503349365,5,1
1503352965,11,3
1503356565,4,2
1503360165,3,0
1503363765,2,3
1503367365,1,3
1503371025,2,2
1503374565,2,3
1503378165,3,1
1503381765,0,1
1503385365,3,2
1503388965,1,1
1503392565,0,1
1503396166,1,2
1503399766,4,7
1503403366,2,0
1503407026,0,6
1503414166,4,3
1503417766,5,0
1503421426,4,1
1503424977,0,3
1503428566,2,4
1503432166,3,3
1503435766,2,0
1503439366,1,3
1503442966,3,2
1503446566,1,1
1503450166,1,3
1503453826,0,2
1503457366,6,5
1503461026,0,2
1503464567,1,3
1503468226,3,1
1503471767,2,3
1503475383,2,2
1503482627,3,2
1503486171,1,2
1503496967,1,0
1503500567,1,3
1503504184,2,5
1503507767,1,0
1503511427,1,0
1503514967,1,1
1503518627,1,2
1503522227,1,0
1503525767,0,1
1503529367,0,3
1503532967,1,5
1503536567,1,1
1503543767,2,3
1503547367,1,1
1503550968,1,5
1503554628,2,1
1503558168,1,3
1503561768,3,1
1503565368,0,4
1503568968,2,3
1503572628,3,0
1503576228,0,2
1503579768,1,3
1503583368,3,4
1503587028,3,1
1503590568,1,0
1503594168,1,5
1503597768,2,0
1503601368,2,3
1503604968,1,1
1503608568,5,2
1503612168,2,4
1503615828,2,2
1503619368,2,1
1503626629,1,0
1503630169,2,2
1503633769,2,1
1503640969,2,1
1503644569,4,3
1503651769,3,2
1503655369,1,1
1503658969,3,0
1503662569,4,4
1503666169,2,3
1503669829,0,2
1503673369,2,0
1503676969,4,0
1503677510,2,1
1503680629,10,0
1503684230,1,1
1503687770,0,1
1503691370,1,3
1503694970,2,1
1503698570,1,2
1503702170,1,1
1503705770,1,2
1503709372,2,1
1503712971,1,0
1503716570,4,5
1503723770,1,4
1503727430,3,2
1503729530,1,4
1503734570,1,1
1503741771,1,2
1503745370,3,1
1503749030,0,4
1503752570,3,5
1503756171,1,1
1503759771,3,2
1503763430,1,4
1503766970,1,5
1503770631,0,2
1503774171,0,1
1503777770,1,1
1503781430,0,1
1503785030,1,1
1503788571,1,0
1503792173,1,2
1503795771,1,0
1503799371,6,0
1503803032,2,6
1503806570,1,6
1503810171,1,1
1503817371,2,2
1503820972,1,1
1503824631,1,2
1503828172,1,2
1503831771,0,1
1503835371,1,0
1503838971,0,1
1503842571,1,0
1503846172,1,3
1503849771,1,0
1503853371,2,1
1503856971,1,1
1503860632,3,2
1503864171,1,0
1503874972,0,4
1503882171,0,1
1503885771,1,2
1503889371,2,1
1503892972,2,2
1503896572,1,2
1503900172,1,1
